"cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
0.8876,0.832,0.7621,0.738,0.65
0.8934,0.836,0.7563,0.7307,0.6574
0.8895,0.8321,0.7644,0.7341,0.6514
0.8834,0.8269,0.7721,0.7386,0.6501
0.8909,0.8346,0.766,0.72,0.6484
0.8904,0.8305,0.7711,0.7287,0.6527
0.8899,0.8372,0.7645,0.7308,0.6359
0.8874,0.8388,0.7722,0.75,0.6592
0.8894,0.8315,0.7744,0.7326,0.6595
0.893,0.8303,0.7693,0.753,0.6633
0.8858,0.8267,0.7629,0.726,0.6474
0.8864,0.8313,0.7683,0.7451,0.6461
0.8874,0.8391,0.7676,0.7462,0.6636
0.8892,0.8293,0.7699,0.7416,0.6491
0.8841,0.8356,0.7565,0.7171,0.657
0.8924,0.836,0.7687,0.73,0.6525
0.8881,0.8272,0.7694,0.7267,0.6517
0.8877,0.8301,0.7628,0.7387,0.6449
0.8873,0.8336,0.7664,0.7194,0.6396
0.888,0.8339,0.7514,0.722,0.6574
0.8875,0.821,0.7592,0.7169,0.6477
0.8858,0.8329,0.764,0.7356,0.6632
0.8895,0.8249,0.7709,0.7401,0.6511
0.8884,0.8308,0.7564,0.7279,0.655
0.8848,0.8353,0.7708,0.7414,0.6523
0.885,0.8299,0.7634,0.7258,0.655
0.8843,0.8225,0.7628,0.7385,0.6418
0.8844,0.8272,0.7626,0.7388,0.6569
0.8826,0.8317,0.7649,0.7431,0.6522
0.8905,0.8326,0.7792,0.7423,0.6622
0.8882,0.8317,0.757,0.729,0.6568
0.882,0.8193,0.7567,0.7375,0.6547
0.8857,0.8423,0.7611,0.7186,0.6506
0.8868,0.8233,0.7622,0.7263,0.6534
0.8877,0.8298,0.7585,0.7296,0.6598
0.8845,0.8301,0.7613,0.7303,0.6542
0.8861,0.8288,0.7776,0.7391,0.6581
0.8864,0.8283,0.7676,0.7429,0.6501
0.8886,0.8311,0.7736,0.7364,0.6521
0.8894,0.8284,0.7667,0.7491,0.6515
0.8858,0.835,0.7623,0.7271,0.6396
0.8918,0.8319,0.7702,0.7492,0.6489
0.8863,0.8319,0.7643,0.7122,0.6496
0.8908,0.832,0.7619,0.721,0.659
0.8917,0.8236,0.7611,0.7327,0.6618
0.8893,0.8244,0.7723,0.7366,0.6429
0.8913,0.8257,0.7513,0.7093,0.6453
0.8834,0.8265,0.7593,0.7324,0.644
0.8864,0.8431,0.7761,0.7297,0.6518
0.8895,0.8338,0.7736,0.7399,0.6357
0.8936,0.8325,0.7694,0.7339,0.6571
0.8877,0.8264,0.7646,0.7369,0.6558
0.8881,0.8307,0.7547,0.7194,0.655
0.8861,0.83,0.7636,0.7434,0.6644
0.886,0.8307,0.7725,0.749,0.6598
0.8948,0.8268,0.769,0.7339,0.6449
0.889,0.8264,0.7588,0.7278,0.6434
0.8885,0.827,0.7719,0.732,0.6529
0.8834,0.8201,0.7626,0.7291,0.6418
0.8829,0.8319,0.7663,0.7231,0.6535
0.8861,0.8262,0.764,0.7374,0.6567
0.8902,0.8325,0.7589,0.7288,0.6566
0.8837,0.8346,0.7632,0.7272,0.6657
0.8883,0.8353,0.765,0.7398,0.6426
0.8855,0.8336,0.7644,0.7272,0.6442
0.8857,0.8234,0.7595,0.7371,0.6489
0.887,0.8345,0.768,0.7382,0.665
0.8852,0.8323,0.7644,0.7324,0.6505
0.8886,0.8318,0.7627,0.7279,0.6501
0.8908,0.8308,0.7693,0.7408,0.6508
0.887,0.8313,0.7694,0.7293,0.6509
0.8898,0.8307,0.7754,0.7312,0.6551
0.8854,0.8302,0.7564,0.7408,0.644
0.895,0.8348,0.7704,0.7375,0.6603
0.8887,0.8228,0.7668,0.7358,0.6406
0.8948,0.8326,0.7669,0.7375,0.649
0.8959,0.8349,0.7741,0.7415,0.6476
0.886,0.829,0.774,0.7298,0.6587
0.8853,0.8323,0.7592,0.7275,0.6598
0.8935,0.8297,0.763,0.7379,0.6631
0.8885,0.8209,0.7742,0.7265,0.6432
0.8898,0.8279,0.762,0.7289,0.647
0.8895,0.8243,0.7644,0.7233,0.6456
0.8886,0.8291,0.7698,0.735,0.6402
0.8881,0.8269,0.7742,0.7506,0.6567
0.8947,0.8239,0.7686,0.7307,0.6575
0.8884,0.8299,0.7658,0.7374,0.6608
0.8816,0.8227,0.7687,0.7337,0.652
0.8912,0.8228,0.7651,0.7278,0.6533
0.885,0.8373,0.7612,0.7325,0.6581
0.8842,0.8281,0.7682,0.7393,0.6513
0.8924,0.8295,0.7771,0.7368,0.6563
0.8845,0.8296,0.7623,0.7309,0.6487
0.886,0.8353,0.7655,0.7173,0.6614
0.8855,0.8292,0.7666,0.7409,0.6597
0.8872,0.8381,0.7562,0.715,0.6534
0.8882,0.836,0.7638,0.727,0.6587
0.8944,0.834,0.772,0.7416,0.6585
0.8911,0.8395,0.7659,0.7322,0.6581
0.8855,0.8302,0.761,0.7288,0.6508
0.8925,0.82,0.7661,0.741,0.6498
0.8899,0.8317,0.767,0.7402,0.654
0.8863,0.8223,0.7552,0.7362,0.652
0.8913,0.8331,0.7685,0.7287,0.6548
0.8868,0.8256,0.7607,0.7364,0.6523
0.8924,0.8386,0.7746,0.7504,0.6434
0.887,0.8387,0.7683,0.7407,0.6503
0.8899,0.8346,0.7711,0.7376,0.6648
0.8888,0.8422,0.7645,0.7323,0.6475
0.8878,0.8272,0.7625,0.7377,0.6519
0.8873,0.8261,0.769,0.7299,0.6488
0.8893,0.8314,0.7559,0.7265,0.6488
0.8892,0.8408,0.7612,0.7214,0.6515
0.8853,0.8318,0.7644,0.7339,0.6453
0.8822,0.8249,0.7517,0.7266,0.6482
0.8953,0.832,0.7593,0.7365,0.6543
0.8908,0.8368,0.769,0.7246,0.6434
0.885,0.8372,0.7689,0.7271,0.6548
0.8923,0.8208,0.7642,0.7387,0.6468
0.885,0.8334,0.7608,0.7196,0.6486
0.8877,0.8385,0.7648,0.7319,0.666
0.883,0.8244,0.7522,0.721,0.6416
0.8901,0.8284,0.7639,0.7331,0.6575
0.8835,0.8263,0.7668,0.732,0.6507
0.8877,0.825,0.7569,0.7552,0.6587
0.894,0.83,0.7663,0.7382,0.652
0.8937,0.829,0.7554,0.7314,0.6469
0.8921,0.8338,0.7571,0.7298,0.6456
0.8865,0.8302,0.7637,0.7362,0.6556
0.8885,0.827,0.7639,0.729,0.6517
0.8903,0.8396,0.7703,0.7372,0.659
0.8888,0.8345,0.7574,0.735,0.6678
0.8853,0.8376,0.7772,0.7432,0.6543
0.8932,0.8312,0.7732,0.7255,0.6549
0.8863,0.8347,0.7703,0.7356,0.6494
0.8859,0.8401,0.7624,0.7261,0.6534
0.8873,0.8246,0.7645,0.7253,0.6507
0.8907,0.8258,0.7649,0.7352,0.6468
0.8884,0.8367,0.7675,0.7328,0.6523
0.8871,0.8278,0.7729,0.7297,0.6519
0.8911,0.829,0.7723,0.7482,0.6391
0.8902,0.8367,0.7657,0.719,0.6664
0.8838,0.8329,0.7608,0.725,0.6497
0.8916,0.8355,0.7772,0.7503,0.6568
0.8794,0.8236,0.7577,0.7229,0.6462
0.8895,0.8338,0.7635,0.7204,0.6521
0.8885,0.8313,0.7628,0.7392,0.6517
0.8843,0.8348,0.7792,0.7339,0.6544
0.8897,0.8372,0.7691,0.7259,0.6522
0.891,0.8213,0.7646,0.7361,0.6395
0.8878,0.8322,0.7633,0.7301,0.6519
0.8906,0.832,0.7574,0.7322,0.6479
0.89,0.8354,0.7729,0.74,0.6497
0.8873,0.8257,0.764,0.7297,0.6484
0.8883,0.8328,0.7687,0.7361,0.6503
0.9021,0.8384,0.7777,0.7388,0.651
0.8896,0.8321,0.7523,0.7284,0.6612
0.8869,0.8112,0.7618,0.7435,0.64
0.8908,0.8278,0.7581,0.7282,0.6528
0.8886,0.8255,0.7679,0.7282,0.6494
0.887,0.8287,0.7542,0.7362,0.649
0.8841,0.8348,0.7629,0.7215,0.6469
0.8896,0.8236,0.7651,0.727,0.6444
0.896,0.8335,0.7685,0.7358,0.6533
0.8949,0.8232,0.7668,0.728,0.6446
0.8881,0.826,0.7631,0.7186,0.649
0.8921,0.8274,0.7688,0.7258,0.6425
0.8875,0.8358,0.7735,0.7358,0.6601
0.8917,0.829,0.7632,0.7294,0.6523
0.883,0.8341,0.7826,0.734,0.6549
0.8898,0.8328,0.7708,0.7412,0.6481
0.8884,0.8288,0.7608,0.7268,0.6587
0.8785,0.8323,0.7639,0.7243,0.6497
0.8806,0.8188,0.7573,0.7131,0.6516
0.8846,0.8292,0.7545,0.7286,0.6529
0.8967,0.8345,0.7657,0.7391,0.6505
0.8895,0.8312,0.7634,0.7342,0.6463
0.8947,0.8333,0.7711,0.7363,0.6478
0.8935,0.836,0.761,0.7165,0.6528
0.8889,0.8238,0.7537,0.7244,0.6523
0.8807,0.8275,0.7714,0.7305,0.6473
0.8888,0.8264,0.7719,0.7317,0.6594
0.8891,0.8337,0.7743,0.7479,0.6581
0.8914,0.8392,0.7699,0.7294,0.6635
0.8878,0.8332,0.7684,0.7309,0.6616
0.8911,0.8354,0.7673,0.7333,0.6497
0.8888,0.837,0.7704,0.7371,0.6603
0.8898,0.8171,0.7641,0.7259,0.645
0.8891,0.8242,0.7576,0.7217,0.6585
0.8927,0.8363,0.7644,0.735,0.6631
0.8863,0.8298,0.7671,0.7122,0.6483
0.8894,0.83,0.7682,0.741,0.648
0.8882,0.8277,0.7751,0.7432,0.65
0.8932,0.8245,0.7689,0.7338,0.6711
0.8895,0.8372,0.7688,0.724,0.6477
0.8849,0.8237,0.755,0.7378,0.6364
0.8916,0.8202,0.7617,0.736,0.6427
0.8846,0.8341,0.7712,0.729,0.6471
0.8868,0.8285,0.7549,0.7244,0.6494
0.8922,0.8266,0.7703,0.7493,0.6493
0.8885,0.8319,0.7659,0.731,0.6451
0.8855,0.8272,0.7573,0.7281,0.6572
0.8872,0.8202,0.7532,0.7299,0.6393
0.8944,0.8272,0.7685,0.7208,0.652
0.8886,0.8246,0.7548,0.7228,0.6448
0.8885,0.8304,0.7685,0.7368,0.6419
0.8865,0.8369,0.7658,0.7294,0.6523
0.8909,0.8181,0.7695,0.7396,0.6445
0.8849,0.8308,0.7533,0.7266,0.6418
0.8879,0.8312,0.7651,0.7404,0.657
0.8855,0.8402,0.772,0.7398,0.6608
0.8844,0.8256,0.7701,0.7353,0.6672
0.8918,0.8268,0.7652,0.7326,0.6542
0.887,0.8294,0.7631,0.7336,0.6628
0.8867,0.8372,0.769,0.724,0.6511
0.885,0.8302,0.7678,0.7469,0.6523
0.8899,0.8314,0.7705,0.7353,0.6492
0.8876,0.8305,0.7648,0.7259,0.6436
0.8824,0.8303,0.7631,0.745,0.6484
0.8916,0.829,0.7732,0.7447,0.6546
0.8864,0.8361,0.765,0.7361,0.6528
0.8931,0.8349,0.7704,0.7344,0.6485
0.8891,0.8295,0.7545,0.7276,0.6593
0.888,0.8362,0.7667,0.7296,0.6609
0.8879,0.8284,0.7543,0.7399,0.6471
0.8885,0.8377,0.7629,0.7337,0.6515
0.8878,0.8337,0.7745,0.7255,0.6533
0.8971,0.8217,0.759,0.7415,0.6431
0.8861,0.839,0.761,0.7307,0.6628
0.8886,0.8244,0.7583,0.7248,0.6527
0.8882,0.8303,0.7701,0.7226,0.6501
0.8862,0.8297,0.7709,0.7326,0.6483
0.892,0.8327,0.7658,0.7283,0.6543
0.8857,0.8254,0.7732,0.7373,0.6479
0.8864,0.8262,0.765,0.7344,0.6572
0.8913,0.8354,0.776,0.7333,0.6593
0.891,0.8307,0.7661,0.7378,0.6454
0.8893,0.8338,0.7687,0.7296,0.656
0.8965,0.8274,0.7678,0.7284,0.6475
0.8825,0.8389,0.7694,0.7285,0.6639
0.8842,0.8323,0.7616,0.7246,0.6477
0.8918,0.837,0.7641,0.7209,0.6657
0.8946,0.8226,0.763,0.7308,0.6362
0.8877,0.8264,0.7691,0.7402,0.6526
0.8837,0.8413,0.773,0.7338,0.6481
0.8837,0.831,0.7698,0.74,0.653
0.8942,0.8464,0.77,0.7326,0.6575
0.8885,0.8332,0.7709,0.7336,0.6655
0.8907,0.8343,0.7682,0.7387,0.6595
0.8879,0.8356,0.7649,0.7443,0.6596
0.8953,0.8232,0.759,0.7245,0.6504
0.8868,0.8256,0.7627,0.7197,0.6402
0.8843,0.8277,0.7641,0.7421,0.6385
0.8831,0.824,0.7508,0.7347,0.6508
0.8868,0.8247,0.7685,0.7341,0.6465
0.8895,0.8334,0.7756,0.7294,0.6434
0.8929,0.8295,0.7777,0.7343,0.6643
0.883,0.8273,0.7693,0.7333,0.6488
0.8897,0.8336,0.7747,0.7361,0.658
0.8814,0.8219,0.7671,0.7235,0.6565
0.8885,0.8369,0.7587,0.7347,0.6511
0.8865,0.8301,0.7626,0.731,0.6491
0.8865,0.8307,0.766,0.7339,0.6611
