"oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
0.3083,0.1414,0.1121,0.0911,0.1039
0.31,0.1441,0.1039,0.0863,0.1029
0.3036,0.1373,0.1051,0.0867,0.0923
0.3169,0.1458,0.1164,0.0962,0.1068
0.3207,0.1521,0.1157,0.092,0.106
0.318,0.1478,0.1162,0.0868,0.105
0.3084,0.1462,0.1092,0.0907,0.1032
0.3081,0.1498,0.1045,0.0858,0.1049
0.3246,0.1533,0.1115,0.0907,0.1123
0.3063,0.1419,0.1144,0.0954,0.1032
0.3167,0.1429,0.109,0.0914,0.1081
0.3167,0.152,0.1105,0.0903,0.0984
0.3124,0.1465,0.1125,0.0953,0.1062
0.314,0.1507,0.1108,0.0888,0.1007
0.3021,0.1418,0.1059,0.0911,0.1115
0.311,0.1443,0.1144,0.0904,0.1031
0.3126,0.1463,0.1081,0.0861,0.1044
0.3179,0.1437,0.1179,0.0916,0.1091
0.3103,0.1442,0.1047,0.0873,0.1044
0.3296,0.1372,0.1096,0.0889,0.1068
0.3064,0.1417,0.1095,0.0842,0.0966
0.3151,0.1489,0.116,0.0938,0.1096
0.3112,0.1461,0.1116,0.09,0.1022
0.3105,0.1396,0.1115,0.0911,0.1133
0.3125,0.1482,0.1106,0.0883,0.0985
0.2977,0.1395,0.1032,0.0845,0.1069
0.313,0.1405,0.1147,0.088,0.0964
0.3137,0.1501,0.1095,0.093,0.1074
0.307,0.1416,0.1191,0.0925,0.1039
0.322,0.1446,0.1124,0.0885,0.1055
0.3007,0.1386,0.1097,0.0876,0.1021
0.3089,0.1437,0.1045,0.0909,0.1034
0.3129,0.1462,0.1157,0.0885,0.1042
0.3039,0.1378,0.1101,0.0899,0.1032
0.3115,0.1502,0.1081,0.0868,0.1048
0.3129,0.1437,0.1007,0.0812,0.0986
0.3144,0.1457,0.1124,0.0983,0.1173
0.3171,0.1454,0.1131,0.0931,0.1035
0.3092,0.1561,0.1104,0.0899,0.1043
0.3046,0.1457,0.1069,0.0983,0.1058
0.3115,0.1431,0.1101,0.0966,0.1077
0.3094,0.1371,0.1104,0.0964,0.0997
0.3146,0.1394,0.1143,0.0901,0.1065
0.312,0.142,0.1032,0.0921,0.1101
0.3153,0.1473,0.1167,0.0925,0.1082
0.3185,0.1568,0.1097,0.0972,0.102
0.3086,0.1331,0.1043,0.0866,0.1056
0.3068,0.1415,0.1066,0.0903,0.1064
0.3172,0.1478,0.1117,0.0899,0.1051
0.3093,0.1478,0.1093,0.094,0.0947
0.3213,0.1473,0.1126,0.094,0.1049
0.3227,0.1326,0.1061,0.0873,0.1058
0.3152,0.1351,0.1187,0.0926,0.1138
0.3096,0.1491,0.1182,0.0877,0.1064
0.2996,0.1489,0.1184,0.0928,0.0972
0.3314,0.1505,0.1095,0.0894,0.1091
0.3098,0.1442,0.1106,0.0892,0.1071
0.311,0.1465,0.1114,0.0886,0.1036
0.3116,0.1493,0.1062,0.0951,0.1015
0.2972,0.1415,0.1115,0.0893,0.1065
0.3137,0.1394,0.1158,0.097,0.1023
0.3053,0.144,0.1075,0.0839,0.1031
0.3071,0.1568,0.1147,0.0873,0.104
0.3156,0.15,0.1153,0.0996,0.1036
0.3049,0.1436,0.1091,0.0936,0.1028
0.3113,0.1303,0.1083,0.092,0.1058
0.3046,0.1467,0.1052,0.0772,0.1
0.3142,0.1436,0.1066,0.0924,0.1096
0.3094,0.1508,0.1044,0.091,0.104
0.3121,0.1514,0.112,0.095,0.1037
0.3013,0.148,0.1076,0.0882,0.0984
0.312,0.1538,0.1071,0.0875,0.1038
0.313,0.1451,0.1072,0.0936,0.1023
