A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.32745	1.27818	0.67321	0.44489	0.69383	1.1169	1.34888	1.13175	0.70336	0.50727	0.55234	0.49064	0.3371	0.25383	0.16612	0.0865
1.86001	9.24453	1.59439	0.49038	0.37349	0.9521	1.32307	1.32586	1.15079	0.63599	0.50612	0.40406	0.35391	0.2307	0.11816	0.08401
0.44282	2.88139	12.65015	1.17573	0.50278	0.59879	0.81832	1.17941	1.29138	0.85289	0.55792	0.34294	0.21371	0.17799	0.13113	0.11102
0.3002	0.58761	4.27829	12.88632	1.59805	0.8872	0.71835	1.06471	1.16424	1.14485	0.62955	0.34415	0.18434	0.11963	0.06622	0.04601
0.45938	0.33069	0.38899	3.01272	4.61615	1.99293	1.28726	1.1169	0.99481	1.14857	0.80205	0.49136	0.21956	0.10114	0.09991	0.08163
0.78443	0.37603	0.20162	0.63144	1.95601	3.08146	1.94507	1.50273	1.26105	1.08473	1.05558	0.59558	0.30614	0.1125	0.0552	0.03474
0.76925	0.86934	0.6567	0.32368	0.97206	1.79871	2.48896	1.90814	1.48061	1.1794	0.96879	0.73519	0.39675	0.16188	0.08016	0.07099
0.74744	1.0495	0.90893	0.551	0.66634	1.35239	1.74337	2.46804	2.01777	1.34342	1.02074	0.6144	0.43367	0.237	0.13825	0.05486
0.56363	0.90489	1.07109	0.88205	0.89678	1.23333	1.67519	1.89916	2.42735	1.71319	1.24702	0.52695	0.40358	0.2049	0.1363	0.06422
0.33888	0.5578	0.66407	0.96041	0.85204	0.99822	1.21255	1.41367	1.5137	1.67993	1.16944	0.60361	0.29509	0.13293	0.10987	0.09789
0.45993	0.49181	0.66443	0.79831	0.92912	1.2867	1.23721	1.19656	1.60546	1.7127	1.52476	0.94247	0.39706	0.13329	0.09328	0.08002
0.75499	0.75451	0.50174	0.64847	0.72821	1.2226	1.37386	1.08044	1.22132	1.04758	1.24939	1.11474	0.58795	0.21581	0.10416	0.07225
0.8883	0.80813	0.50307	0.53266	0.57391	0.9232	1.09392	1.16211	1.00317	0.87048	0.8286	0.91959	0.69712	0.37828	0.21971	0.08919
0.63641	0.89323	0.70624	0.38535	0.41412	0.5667	0.82017	0.78145	0.73142	0.4164	0.47043	0.49745	0.50538	0.48647	0.23884	0.1137
0.36829	0.97077	0.75493	0.6612	0.2103	0.4276	0.39865	0.71088	0.74087	0.56243	0.41992	0.31715	0.56509	0.49412	0.52523	0.23699
0.31599	0.40582	0.56614	0.46022	0.17394	0.16666	0.27049	0.38989	0.39532	0.40993	0.39506	0.2301	0.17877	0.26039	0.23599	0.17051
