A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.32796	1.1372	0.62536	0.39807	0.6485	1.04414	1.22687	1.0305	0.64064	0.44176	0.51302	0.45799	0.32734	0.24656	0.16323	0.08643
1.74945	8.42692	1.58019	0.48886	0.36	0.92357	1.31865	1.33538	1.13195	0.60772	0.48202	0.40171	0.35603	0.23384	0.12028	0.08755
0.37821	2.61572	11.73482	1.04436	0.43681	0.52908	0.71597	1.0593	1.16998	0.76437	0.49633	0.30464	0.18697	0.15351	0.11318	0.09662
0.22879	0.46132	2.87372	8.57456	1.24969	0.67332	0.52589	0.78141	0.90116	0.8742	0.47445	0.24157	0.13384	0.09135	0.05286	0.03729
0.38606	0.28289	0.35171	2.02182	3.61311	1.86644	1.18292	1.0025	0.96675	1.12794	0.81483	0.42269	0.17227	0.08187	0.09111	0.0758
0.91713	0.42982	0.22742	0.69736	2.21373	3.55115	2.11395	1.58966	1.43971	1.28086	1.26303	0.60436	0.26788	0.11138	0.06191	0.03958
1.02084	1.13233	0.82178	0.38819	1.14574	2.09016	2.86352	2.07636	1.68471	1.39079	1.16845	0.7745	0.39154	0.18312	0.10024	0.08979
0.92676	1.31182	1.10877	0.62776	0.73536	1.46124	1.83323	2.63103	2.2046	1.52058	1.17007	0.60086	0.44009	0.26315	0.16184	0.0644
0.57154	0.92647	1.08517	0.87687	0.94331	1.33287	1.7092	1.90615	2.67832	1.97957	1.48095	0.48572	0.33344	0.18426	0.12946	0.06128
0.38117	0.63074	0.73853	1.05001	0.9654	1.15786	1.34211	1.53796	1.79885	2.10231	1.45485	0.60083	0.26017	0.12557	0.11363	0.10174
0.60195	0.63895	0.84368	0.99166	1.1701	1.6048	1.46018	1.38666	2.04945	2.28329	2.09108	1.03083	0.39728	0.15186	0.11352	0.09811
1.09918	1.0905	0.69045	0.84952	0.92532	1.45692	1.51033	1.10872	1.28095	1.16894	1.45863	1.234	0.63913	0.28328	0.14309	0.10002
1.12301	1.04077	0.63636	0.62163	0.59628	0.90499	1.03104	1.04812	0.8903	0.75911	0.76854	0.8126	0.73818	0.42191	0.25777	0.10473
0.59619	0.84181	0.65503	0.34556	0.35125	0.44518	0.64897	0.64256	0.57734	0.32026	0.36663	0.3922	0.39963	0.42669	0.19867	0.09537
0.20751	0.55061	0.42083	0.35726	0.11118	0.22496	0.2055	0.36459	0.37402	0.28488	0.22022	0.16653	0.29008	0.25153	0.27651	0.12073
0.15418	0.19793	0.27323	0.21733	0.08136	0.07732	0.12115	0.17587	0.17362	0.17852	0.17723	0.10292	0.07783	0.11301	0.10058	0.07469
