A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.74619	2.04394	1.15574	0.68198	1.06178	1.55478	1.70112	1.46479	1.01427	0.71628	0.82922	0.76444	0.55917	0.4621	0.3078	0.15307
2.53283	9.58228	2.35665	0.79467	0.55386	1.26236	1.55946	1.59331	1.41629	0.79659	0.64965	0.57742	0.52938	0.37202	0.18671	0.134
0.96584	3.53206	11.60894	1.52214	0.74342	0.77422	0.96698	1.26026	1.38365	0.94831	0.6427	0.41211	0.28219	0.27276	0.19366	0.16268
0.55751	1.0309	3.63306	9.67412	1.97396	1.08684	0.79992	1.06666	1.11943	1.0563	0.59675	0.33182	0.21427	0.16998	0.0884	0.05923
0.83851	0.57749	0.59514	2.71656	4.00997	2.25793	1.42977	1.17299	1.00546	1.0804	0.77512	0.50347	0.26723	0.14006	0.11916	0.09452
1.31324	0.56863	0.28266	0.78325	2.05779	3.03443	2.12653	1.67565	1.41486	1.15897	1.06547	0.60561	0.36202	0.16861	0.0552	0.0329
1.23528	1.2335	0.76661	0.38528	1.00899	1.94963	2.36384	2.02194	1.63481	1.30562	1.01476	0.75024	0.41815	0.2059	0.06832	0.06156
1.19822	1.46554	1.00288	0.60579	0.65273	1.42245	1.77728	2.27919	2.11067	1.43588	1.11723	0.63512	0.40936	0.23584	0.10378	0.04184
0.88346	1.27254	1.12179	0.80138	0.78777	1.27033	1.72009	1.89359	2.21181	1.75333	1.34064	0.56264	0.40983	0.20728	0.08375	0.04124
0.50448	0.81355	0.77932	0.93669	0.7245	0.99902	1.27864	1.48478	1.54962	1.52444	1.15941	0.64523	0.31427	0.16021	0.06808	0.05995
0.64672	0.71541	0.83326	0.86322	0.81244	1.20533	1.27541	1.29634	1.77073	1.80262	1.48701	0.97107	0.41773	0.15402	0.06698	0.05075
0.95875	0.95896	0.56935	0.6996	0.62575	1.05116	1.24969	1.08664	1.30127	1.1001	1.22865	0.91346	0.51817	0.20498	0.05988	0.04017
1.08153	0.9601	0.52151	0.52768	0.51842	0.89428	0.97531	1.12014	1.06038	1.00683	0.92827	0.88806	0.45156	0.27048	0.11578	0.04106
0.67136	0.90497	0.66161	0.36618	0.38383	0.6415	0.72249	0.50592	0.66024	0.4645	0.64514	0.49119	0.38506	0.18155	0.0961	0.0422
0.3429	0.83033	0.54328	0.39553	0.12244	0.24079	0.16075	0.26165	0.2156	0.19407	0.2271	0.14209	0.24626	0.16146	0.12122	0.06578
0.42916	0.53277	0.67268	0.51695	0.14708	0.1473	0.15829	0.24039	0.23467	0.24252	0.2699	0.12427	0.07692	0.10881	0.07958	0.03882
