A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.36277	1.56166	0.85421	0.49967	0.79455	1.2436	1.38464	1.18519	0.78477	0.57297	0.59326	0.54204	0.3736	0.30042	0.19617	0.09915
1.98686	9.13749	1.89409	0.55463	0.40505	1.06767	1.36425	1.37846	1.21282	0.68321	0.53354	0.43523	0.39427	0.26205	0.13271	0.0952
0.53108	3.088	12.06751	1.25525	0.56665	0.63855	0.87651	1.21648	1.30994	0.89709	0.58705	0.36809	0.23538	0.20528	0.14977	0.1313
0.31208	0.67913	3.89245	11.25799	1.86294	1.02082	0.8043	1.13106	1.22842	1.15431	0.63258	0.36353	0.20782	0.14716	0.07512	0.05247
0.50282	0.35587	0.43821	2.83232	4.2224	2.08361	1.35529	1.15611	1.02361	1.14875	0.78942	0.52292	0.26315	0.13345	0.11276	0.09126
0.83028	0.43993	0.20269	0.7197	1.96532	2.95357	1.97331	1.54846	1.30788	1.12159	1.05231	0.62377	0.35039	0.16082	0.05684	0.03247
0.70764	0.96031	0.71709	0.3527	0.94576	1.77916	2.3842	1.93795	1.51569	1.24651	1.0092	0.7818	0.43162	0.21066	0.07722	0.07019
0.67409	1.10482	0.97797	0.62378	0.63721	1.31687	1.72404	2.35652	2.04488	1.39605	1.07855	0.65361	0.44189	0.25779	0.125	0.05234
0.44753	0.82073	0.99382	0.8388	0.80841	1.15955	1.57913	1.81993	2.2679	1.72601	1.2888	0.56656	0.41204	0.20721	0.10978	0.05157
0.25455	0.47104	0.62533	0.91911	0.75898	0.94281	1.20805	1.39821	1.52759	1.64279	1.20032	0.66792	0.31902	0.16827	0.08918	0.07948
0.23887	0.36062	0.54575	0.7124	0.74787	1.16107	1.20134	1.21659	1.6652	1.8131	1.57619	1.01793	0.42558	0.14665	0.07024	0.05726
0.36798	0.41997	0.33958	0.55058	0.5759	1.05124	1.24822	1.06394	1.28683	1.10765	1.28668	1.12456	0.5988	0.20345	0.07285	0.04954
0.36848	0.37178	0.24084	0.32849	0.44782	0.81889	0.95657	1.08276	1.02069	0.97893	0.88711	0.99549	0.60951	0.3548	0.1462	0.06069
0.19121	0.25929	0.2281	0.17663	0.27046	0.55523	0.65708	0.47508	0.59721	0.4741	0.55563	0.49815	0.4882	0.35663	0.14867	0.07372
0.08941	0.27121	0.25375	0.21864	0.09477	0.17772	0.19249	0.32534	0.38312	0.30124	0.19162	0.16767	0.32536	0.30743	0.30925	0.16245
0.10814	0.12985	0.24531	0.20783	0.07556	0.08601	0.15498	0.26008	0.23272	0.27883	0.2009	0.13523	0.10746	0.1848	0.17681	0.13408
