A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.36482	1.14339	0.55828	0.37745	0.5797	0.95987	1.20533	0.98943	0.60032	0.44916	0.46819	0.41673	0.27648	0.2103	0.13671	0.06985
1.72215	8.86151	1.38888	0.40969	0.3289	0.83307	1.16665	1.17342	1.01606	0.56658	0.45621	0.34693	0.30107	0.19517	0.09955	0.06896
0.38128	2.56016	11.32571	1.04353	0.44417	0.52831	0.71349	1.04519	1.16055	0.76083	0.49244	0.30288	0.18857	0.15666	0.11515	0.09699
0.27784	0.55347	3.64483	11.0219	1.67103	0.90946	0.73223	1.03635	1.15244	1.12027	0.60287	0.31885	0.17385	0.11476	0.0644	0.04349
0.4515	0.33202	0.40131	2.78104	4.504	2.13433	1.38568	1.20078	1.04922	1.21375	0.8251	0.49087	0.21484	0.1026	0.10363	0.08411
0.81063	0.38451	0.20511	0.73412	2.11833	3.23098	2.007	1.54483	1.27274	1.07773	1.02732	0.55923	0.2751	0.11253	0.05616	0.03404
0.86645	0.96821	0.71409	0.39726	1.1112	1.92994	2.6215	1.97909	1.49157	1.17033	0.95248	0.71061	0.38006	0.17276	0.0877	0.07757
0.88977	1.26372	1.08533	0.73832	0.79509	1.48169	1.88074	2.66426	2.09023	1.36443	0.99492	0.60921	0.46361	0.27279	0.1623	0.06446
0.61272	0.98742	1.18088	0.99831	0.99876	1.27196	1.68584	1.9039	2.41138	1.65038	1.14419	0.4681	0.3769	0.21606	0.14603	0.06879
0.36839	0.62141	0.74275	1.12077	0.96634	1.02708	1.2014	1.4001	1.47289	1.65149	1.10674	0.53745	0.27607	0.1423	0.12244	0.10666
0.54517	0.55919	0.74464	0.94058	1.07009	1.34868	1.21439	1.14825	1.49913	1.6076	1.41334	0.87072	0.38364	0.15283	0.1105	0.09259
0.87503	0.86631	0.55766	0.74527	0.81463	1.26326	1.35572	1.02615	1.09866	0.95554	1.15333	1.04498	0.57543	0.24579	0.12111	0.08308
0.96082	0.88762	0.54904	0.56228	0.58455	0.88743	1.02976	1.07254	0.88721	0.74075	0.71285	0.803	0.68092	0.38961	0.2348	0.09506
0.63546	0.89407	0.70546	0.38602	0.40929	0.54534	0.78311	0.74452	0.69589	0.39528	0.44452	0.47057	0.47052	0.46958	0.23085	0.10929
0.32147	0.85293	0.65866	0.57284	0.17921	0.35891	0.33627	0.59283	0.6165	0.48024	0.36224	0.27277	0.48077	0.4203	0.44294	0.2024
0.25473	0.32785	0.45534	0.36668	0.13776	0.13063	0.21154	0.3045	0.30782	0.31597	0.31035	0.1824	0.13976	0.20291	0.18318	0.13066
