A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.28506	1.5808	0.94057	0.59973	0.91894	1.33097	1.47347	1.24837	0.83966	0.57917	0.69615	0.63531	0.46115	0.35636	0.23414	0.11838
2.05803	8.48313	2.01546	0.70898	0.47981	1.14792	1.49638	1.49079	1.30594	0.71114	0.57865	0.51703	0.4728	0.3147	0.16152	0.11396
0.68894	3.1686	11.91828	1.43124	0.65656	0.70904	0.93715	1.27513	1.39604	0.92502	0.6218	0.38857	0.26358	0.2362	0.1735	0.14297
0.4317	0.82336	3.51494	9.78888	1.84194	1.00753	0.75511	1.06134	1.14841	1.07514	0.61493	0.32603	0.2063	0.14695	0.08335	0.05501
0.60107	0.45674	0.51082	2.64291	4.1364	2.2436	1.44901	1.20943	1.05147	1.14459	0.82197	0.52952	0.26438	0.1242	0.11293	0.09085
1.10347	0.54338	0.29397	0.8451	2.28888	3.41735	2.27323	1.75296	1.4469	1.20452	1.1535	0.67685	0.37248	0.15597	0.06108	0.03686
1.09428	1.22088	0.87615	0.44585	1.18792	2.16046	2.70059	2.17946	1.68034	1.3124	1.07642	0.84208	0.46947	0.21093	0.09082	0.07819
1.1652	1.56104	1.25079	0.79411	0.81818	1.62856	2.02678	2.63329	2.23925	1.47619	1.12994	0.71325	0.51733	0.29514	0.15759	0.0619
0.83718	1.26053	1.28745	1.02232	0.98775	1.39561	1.84101	2.00103	2.36361	1.73915	1.27812	0.56673	0.44756	0.24112	0.1324	0.06331
0.46968	0.76362	0.80109	1.04623	0.87217	1.06742	1.274	1.45743	1.48585	1.50891	1.11622	0.6214	0.30718	0.14977	0.09491	0.08231
0.57645	0.58622	0.73362	0.83524	0.85059	1.2401	1.24484	1.18331	1.54594	1.57049	1.30346	0.88164	0.36958	0.1221	0.07004	0.05703
0.85939	0.86696	0.53191	0.68456	0.6768	1.15486	1.33142	1.07048	1.21083	1.01595	1.13088	0.92227	0.50057	0.17648	0.06798	0.048
1.06668	0.95166	0.55828	0.58471	0.57376	0.92495	1.07137	1.14463	0.99839	0.87787	0.81879	0.8459	0.49263	0.2816	0.14121	0.05605
0.70172	0.95262	0.71237	0.39229	0.40875	0.60626	0.79066	0.64728	0.67984	0.40345	0.48478	0.43348	0.37468	0.25322	0.13844	0.06336
0.33851	0.8454	0.58357	0.49236	0.13521	0.28094	0.24487	0.42068	0.40473	0.29906	0.25442	0.17042	0.27868	0.22173	0.20305	0.10452
0.26369	0.32576	0.42945	0.3461	0.11561	0.10257	0.15868	0.24139	0.2357	0.21222	0.22668	0.11971	0.08323	0.12006	0.09812	0.06135
