"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"BWA",2019.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio"
"BWA",2019.5,"all","high","all","all","Ds, Dc","stock",NA,"all","low","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.674,0.575,0.801,0.113,"TB_prr_0_99","ratio"
"BWA",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,74.5666137,55.28214464,93.85108276,19.28446906,"TB_inci_0_14","inci"
"BWA",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,340.7880724,249.0374375,432.5387073,91.7506349,"TB_inci_15_99","inci"
"BWA",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,251.7685657,190.9968429,312.5402884,60.77172275,"TB_inci_0_99","inci"
"BWA",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,29.82664548,23.86131638,35.79197458,5.9653291,"TB_notif_0_14","inci"
"BWA",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,187.2368313,149.7894651,224.6841976,37.44736625,"TB_notif_15_99","inci"
"BWA",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,134.0884654,107.2707723,160.9061585,26.8176931,"TB_notif_0_99","inci"
"BWA",2019.5,"all","all","all","all","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,78,61,96,17.5,"TB_deaths_0_99","inci"
"BWA",2019.5,"all","all","all","HIV1,ART1","all","stock",NA,"all","all","all","all","all","stock",NA,"x/y",0,99,0.164951819,0.14758847,0.177974331,0.0151929305,"HIV_prev_0_99","ratio"
"BWA",2019.5,"all","all","all","ART1","all","stock",NA,"all","all","all","HIV1,ART1","all","stock",NA,"x/y",0,99,0.82,0.74,0.89,0.075,"HIV_artcov_0_99","ratio"
"BWA",2019.5,"all","all","all","HIV1,ART1","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,123,95,155,30,"TB_newhivinf_0_99","inci"
"BWA",2019.5,"all","all","all","HIV1,ART1","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,49,23,81,29,"TB_morthiv_0_99","inci"
