A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.4856	1.96666	1.1428	0.70663	1.07623	1.57344	1.73958	1.51985	1.0312	0.71121	0.8514	0.77951	0.5726	0.45186	0.30144	0.15219
2.16906	7.84281	2.32206	0.81036	0.53175	1.2573	1.59803	1.65486	1.43986	0.776	0.61731	0.59532	0.55627	0.37725	0.19303	0.1406
0.88607	3.11464	9.24874	1.59221	0.77111	0.75951	1.00492	1.33805	1.48273	0.97479	0.63759	0.40881	0.3045	0.29376	0.2185	0.18203
0.53329	1.04493	3.14347	8.32008	2.2753	1.20999	0.87765	1.19272	1.3043	1.20075	0.67016	0.34765	0.24454	0.18888	0.1026	0.0685
0.71033	0.5452	0.57076	2.78277	4.27978	2.37531	1.52439	1.26419	1.0967	1.20848	0.85812	0.55499	0.29447	0.14993	0.12662	0.10287
1.02541	0.51866	0.26081	0.81641	1.99146	2.94863	1.97281	1.57801	1.31624	1.10579	1.02956	0.59911	0.34823	0.16536	0.05183	0.03044
0.83823	0.93724	0.62924	0.3784	0.94692	1.68983	2.11662	1.77445	1.41981	1.15379	0.90069	0.6866	0.3847	0.19173	0.06113	0.05474
0.83025	1.12971	0.83211	0.64916	0.63884	1.27692	1.52825	2.03834	1.82	1.26234	0.9784	0.57121	0.36857	0.21191	0.09117	0.03657
0.56087	0.86368	0.80136	0.66991	0.74882	1.12751	1.45774	1.601	1.90034	1.49598	1.13262	0.4954	0.36238	0.18218	0.07452	0.03506
0.35486	0.64358	0.62883	0.82401	0.67532	0.91769	1.1188	1.30378	1.32969	1.36943	1.00764	0.5858	0.2851	0.15425	0.06259	0.05347
0.46706	0.48157	0.56773	0.67433	0.69396	1.07808	1.11426	1.12419	1.49119	1.53787	1.27392	0.84371	0.36768	0.13035	0.05515	0.04403
0.73249	0.8194	0.45682	0.5933	0.56812	0.95605	1.14108	0.99028	1.15371	1.00866	1.07976	0.84337	0.47179	0.17938	0.05374	0.03906
0.69626	0.72014	0.4221	0.40434	0.45099	0.75745	0.85615	0.98415	0.94671	0.90294	0.81528	0.8033	0.41633	0.24009	0.09362	0.03813
0.46375	0.73657	0.55907	0.31738	0.32842	0.60082	0.67631	0.47945	0.62191	0.47096	0.57338	0.45205	0.37318	0.18786	0.0849	0.04122
0.18565	0.53078	0.36802	0.29192	0.07466	0.14742	0.12216	0.21447	0.21057	0.17751	0.16447	0.11815	0.1722	0.13533	0.1195	0.06246
0.19102	0.25381	0.323	0.24353	0.07532	0.06522	0.08962	0.14291	0.12717	0.1382	0.16099	0.09513	0.05767	0.08477	0.06089	0.03667
