Country,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
CHN,1950,18180.02,16462.924,15036.94,13875.599,12952.431,12240.967,11714.737,11347.27,11112.099,10982.752,10953.793,11019.788,11049.098,10973.188,10828.689,10728.507,10659.354,10528.866,10305.248,10022.601,9750.879,9480.965,9225.825,9000.563,8801.879,8599.543,8385.407,8246.659,8219.137,8259.238,8291.4,8335.4,8316.73,8192.137,7996.933,7814.284,7633.073,7437.917,7231.276,7019.172,6798.444,6561.664,6369.297,6248.57,6170.134,6086.049,6016.267,5888.61,5665.648,5386.731,5119.869,4840.941,4630.244,4531.218,4500.294,4455.292,4418.447,4330.408,4155.217,3924.898,3704.261,3476.526,3272.997,3114.534,2981.929,2840.72,2704.528,2534.242,2309.105,2052.3,1805.835,1558.985,1346.287,1188.439,1068.415,949.241,839.203,730.507,615.855,501.352,399.474,306.61,229.189,171.303,128.674,91.879,61.53,39.031,23.72,14.272,12.985,10.808,8.449,5.91,3.19,1.619,1.313,0.999,0.677,0.348
CHN,1951,21682.813,17882.955,16268.777,14918.689,13810.011,12920.059,12223.038,11693.149,11323.301,11097.047,10982.354,10958.369,11022.941,11050.735,10974.892,10831.207,10730.095,10658.79,10526.349,10301.449,10017.907,9744.908,9473.461,9216.915,8990.478,8790.741,8587.183,8371.617,8231.543,8202.893,8241.864,8272.686,8315.268,8294.289,8166.093,7966.392,7779.26,7593.539,7393.573,7181.832,6964.526,6738.599,6496.504,6299.765,6176.119,6095.742,6009.375,5936.832,5807.329,5583.868,5304.946,5037.802,4759.07,4544.767,4436.321,4392.34,4334.872,4285.335,4186.428,4003.65,3768.098,3542.315,3310.126,3102.843,2941.158,2806.18,2663.658,2526.831,2358.645,2139.274,1890.809,1653.277,1416.403,1213.208,1063.445,950.794,839.611,737.542,638.309,535.385,433.839,344.39,263.836,196.848,146.482,109.228,77.291,51.678,33.07,20.234,12.104,10.8,8.982,7.016,4.903,2.642,1.434,1.094,0.743,0.383
CHN,1952,24029.305,21355.339,17427.76,15930.945,14668.809,13622.668,12773.839,12097.426,11568.531,11199.546,10984.219,10885.221,10866.429,10929.006,10955.036,10879.93,10738.328,10637.18,10564.351,10431.122,10206.915,9924.972,9653.095,9382.499,9126.802,8901.184,8702.159,8499.175,8284.083,8143.917,8114.388,8151.881,8181.084,8221.868,8198.756,8068.081,7865.632,7675.656,7487.048,7284.026,7069.039,6848.434,6619.287,6373.998,6174.611,6049.126,5967.51,5879.618,5804.946,5674.731,5452.734,5176.265,4911.187,4635.103,4419.074,4302.14,4245.465,4176.009,4114.189,4005.263,3816.493,3577.77,3348.821,3114.211,2904.994,2741.504,2605.339,2462.758,2326.504,2161.902,1950.242,1712.323,1485.834,1261.046,1069.161,928.818,824.549,722.354,629.168,540.294,450.03,362.363,286.159,218.651,162.709,120.32,88.782,61.992,41.352,26.805,16.562,9.827,8.517,7.074,5.518,3.851,2.07,1.146,0.778,0.399
CHN,1953,25213.275,22385.383,19920.288,16963.185,15583.979,14410.078,13426.785,12619.398,11963.935,11436.406,11068.545,10864.221,10780.878,10767.255,10827.805,10852.065,10777.745,10638.316,10537.205,10462.918,10329.005,10105.648,9825.496,9554.928,9285.375,9030.706,8806.067,8607.893,8405.63,8191.165,8051.011,8020.63,8056.629,8084.203,8123.171,8097.958,7964.915,7759.887,7567.225,7375.887,7169.979,6951.926,6728.206,6496.028,6247.747,6045.875,5918.658,5835.872,5746.527,5669.795,5538.969,5318.587,5044.751,4781.918,4508.663,4291.077,4165.803,4096.564,4015.259,3941.29,3822.496,3627.912,3386.215,3154.288,2917.447,2706.46,2541.298,2404.055,2261.519,2125.93,1965.008,1761.156,1533.881,1318.521,1105.892,925.375,794.488,698.615,605.418,521.117,442.592,364.962,291.138,228.139,173.633,128.697,94.261,68.419,46.759,31.069,20.565,12.905,7.558,6.244,5.175,4.028,2.802,1.5,0.787,0.403
CHN,1954,25318.336,22706.597,20408.688,18405.774,16554.257,15287.758,14197.977,13274.137,12505.454,11868.774,11340.946,10973.043,10779.027,10711.001,10702.48,10761.204,10783.779,10710.006,10572.302,10470.908,10394.935,10259.919,10036.707,9757.451,9487.336,9217.969,8963.522,8739.149,8541.199,8339.012,8124.496,7983.913,7952.588,7987.213,8013.254,8050.538,8023.154,7887.335,7679.093,7483.151,7288.495,7079.063,6857.272,6629.746,6393.82,6141.778,5936.799,5807.456,5723.244,5632.174,5553.15,5421.303,5201.834,4929.758,4668.328,4397.03,4177.207,4043.237,3961.277,3867.921,3781.628,3652.637,3451.656,3206.237,2970.613,2730.805,2517.392,2350.045,2211.294,2068.354,1933.002,1775.234,1578.513,1361.113,1156.149,954.953,785.182,663.293,575.475,490.939,415.218,346.744,281.444,221.167,171.11,129.373,95.249,68.621,48.367,31.745,20.932,14.419,9.305,5.325,4,3.3,2.557,1.769,0.937,0.394
CHN,1955,24456.476,22452.206,20631.046,18986.105,17510.489,16197.308,15039.669,14030.682,13163.452,12431.09,11811.201,11281.394,10912.28,10727.971,10675.072,10671.634,10728.715,10749.674,10676.216,10539.8,10437.801,10359.897,10223.347,9999.568,9720.325,9449.803,9179.767,8924.732,8699.912,8501.556,8298.804,8083.553,7942.093,7909.724,7943.083,7967.67,8003.386,7973.741,7834.71,7622.585,7422.735,7224.137,7010.512,6784.27,6552.21,6311.779,6055.169,5846.424,5714.541,5628.634,5535.545,5453.975,5320.687,5101.435,4830.255,4569.402,4299.198,4076.438,3933.332,3838.369,3732.646,3633.734,3494.12,3286.091,3036.162,2796.089,2552.546,2336.025,2165.956,2025.255,1881.455,1745.908,1590.799,1400.593,1192.395,997.193,806.808,647.26,533.996,453.966,377.837,310.467,251.842,198.685,151.783,114.533,85.452,62.051,43.157,28.435,16.806,10.846,8.309,5.729,3.104,1.766,1.433,1.091,0.738,0.377
CHN,1956,22599.268,23599.705,21906.377,20301.481,18792.631,17387.438,16080.132,14864.945,13816.398,12968.867,12289.819,11690.346,11161.838,10793.04,10610.635,10560.176,10556.154,10610.426,10629.097,10554.917,10418.766,10316.311,10237.463,10100.684,9877.783,9600.117,9330.949,9062.092,8808.262,8584.63,8387.285,8185.446,7971.239,7829.262,7794.055,7823.106,7843.483,7874.723,7841.461,7700.37,7487.211,7285.919,7085.525,6870.728,6644.211,6412.267,6171.79,5915.347,5704.867,5568.319,5475.871,5376.345,5287.932,5148.773,4925.475,4651.347,4387.455,4114.82,3888.069,3738.365,3635.534,3522.759,3416.834,3273.566,3066.988,2821.952,2587.206,2350.511,2139.219,1971.048,1830.731,1688.721,1555.062,1406.69,1230.499,1040.965,863.981,692.329,549.646,449.659,380.388,315.323,258.81,209.796,164.789,124.784,93.669,70.082,51.003,35.459,23.183,13.611,8.822,6.755,4.655,2.52,1.332,1.011,0.683,0.349
CHN,1957,20501.636,20545.22,22915.771,21519.73,20118.551,18734.333,17389.175,16078.381,14797.258,13701.867,12867.889,12237.048,11653.62,11122.639,10751.527,10569.721,10521.331,10516.702,10568.571,10585.099,10509.666,10372.802,10269.155,10188.799,10050.81,9827.192,9549.115,9279.375,9009.775,8755.329,8531.28,8333.521,8131.139,7916.433,7772.92,7734.638,7759.614,7775.951,7802.966,7765.867,7621.719,7406.004,7201.837,6998.221,6780.722,6552.311,6318.822,6076.579,5818.467,5604.752,5462.587,5362.967,5256.323,5160.469,5014.475,4785.555,4506.538,4237.74,3960.74,3728.398,3571.056,3459.657,3339.057,3225.393,3077.463,2870.85,2628.932,2397.809,2166.239,1958.64,1791.154,1650.213,1508.968,1376.23,1233.503,1070,897.689,737.57,583.336,456.418,368.931,309.872,255.357,209.242,169.445,132.226,98.802,73.569,55.282,40.369,28.049,18.121,10.528,6.87,5.257,3.618,1.956,0.926,0.625,0.321
CHN,1958,18522.423,19608.752,20210.47,22286.878,21185.969,19985.902,18723.383,17435.123,16117.493,14766.869,13621.63,12799.155,12215.148,11646.362,11111.553,10737.18,10555.514,10509.082,10503.834,10553.421,10567.837,10490.953,10353.021,10247.911,10165.829,10026.273,9801.368,9522.172,9251.175,8980.145,8724.434,8499.39,8300.708,8097.261,7881.502,7736.078,7694.611,7715.559,7727.878,7750.718,7709.673,7562.084,7343.25,7135.673,6928.3,6707.532,6476.635,6240.998,5996.361,5735.913,5518.405,5370.232,5263.153,5149.085,5045.509,4892.276,4657.128,4372.489,4098.078,3815.988,3577.44,3412.024,3291.732,3162.96,3041.231,2888.238,2681.068,2441.667,2213.596,1986.587,1782.169,1614.946,1473.02,1332.184,1200.035,1062.615,911.445,756.002,612.425,475.3,363.901,288.753,239.804,195.75,159.969,129.33,99.845,72.945,53.559,40.551,29.787,20.674,13.08,7.456,4.925,3.764,2.587,1.393,0.57,0.294
CHN,1959,17129.165,18924.281,20095.605,20712.757,21620.557,20818.151,19822.173,18683.969,17454.887,16132.381,14713.903,13520.267,12710.608,12174.592,11621.394,11083.546,10706.459,10525.211,10480.818,10474.955,10522.173,10534.443,10456.216,10317.421,10210.996,10127.306,9986.384,9760.525,9480.629,9208.778,8936.721,8680.126,8454.424,8255.115,8050.905,7834.414,7687.29,7642.681,7659.546,7667.807,7686.412,7641.458,7490.633,7268.995,7058.303,6847.467,6623.746,6390.697,6153.257,5906.584,5644.183,5423.189,5269.197,5154.778,5033.417,4922.231,4761.95,4520.893,4231.033,3951.394,3664.614,3420.183,3246.9,3117.846,2981.051,2851.395,2693.544,2486.126,2249.62,2024.966,1802.887,1601.981,1435.276,1292.574,1152.365,1021.007,889.135,750.6,612.359,485.635,365.926,270.304,207.678,168.973,135.507,110.172,88.791,67.127,46.831,33.355,25.675,19.1,13.226,7.989,4.356,2.963,2.258,1.546,0.825,0.27
