A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.81043	2.49418	1.56878	0.99921	1.31119	1.75886	1.91864	1.65268	1.15174	0.78373	0.97177	0.87756	0.64913	0.50638	0.32603	0.16463
2.63848	9.30817	2.59207	1.06079	0.66219	1.41971	1.71687	1.70822	1.51055	0.83716	0.71409	0.65351	0.59814	0.40108	0.20363	0.14133
1.13584	3.61652	11.25157	1.76162	0.84438	0.86635	1.06901	1.33369	1.44471	0.96986	0.68567	0.42942	0.31152	0.29415	0.21022	0.16745
0.76442	1.31492	3.8364	9.73211	2.11634	1.19264	0.86047	1.16912	1.19077	1.10024	0.68883	0.3578	0.2517	0.18717	0.1044	0.0667
0.97288	0.79697	0.79026	3.03041	4.20415	2.28529	1.42477	1.10122	0.98644	1.08279	0.80576	0.51833	0.26198	0.1421	0.13255	0.10486
1.53821	0.79424	0.45768	1.05408	2.14821	2.75638	1.94179	1.44186	1.16114	1.00932	1.02186	0.56074	0.32815	0.16074	0.06177	0.03927
1.36293	1.4516	1.0209	0.52128	1.06031	1.75744	2.03725	1.76162	1.37195	1.06439	0.9339	0.67592	0.41274	0.19523	0.0844	0.0691
1.37043	1.69008	1.2215	0.80814	0.67129	1.223	1.55664	1.94642	1.73453	1.17061	0.962	0.55099	0.43487	0.25392	0.12662	0.04817
1.063	1.44464	1.25293	0.94858	0.78987	1.06821	1.47685	1.5789	1.79845	1.38619	1.093	0.43153	0.38686	0.22958	0.10638	0.05295
0.64877	1.01279	0.94361	1.08427	0.78192	0.86382	1.04722	1.25257	1.22944	1.20612	0.97589	0.49294	0.27543	0.14492	0.08231	0.0721
0.93873	0.82758	0.95899	0.99744	0.87247	1.10832	1.15361	1.08107	1.39734	1.39416	1.17345	0.74372	0.34385	0.12547	0.07212	0.0581
1.29299	1.22847	0.66998	0.82526	0.68324	1.03421	1.1904	0.90816	0.97049	0.84545	0.95931	0.65493	0.41257	0.17342	0.06269	0.04814
1.55779	1.31833	0.73899	0.73106	0.57562	0.83198	1.02017	1.08116	0.90196	0.77346	0.76315	0.65367	0.36366	0.23128	0.11311	0.04328
1.01044	1.27675	0.9119	0.50595	0.46161	0.6049	0.84198	0.71036	0.73766	0.40265	0.51069	0.38407	0.30897	0.17535	0.09999	0.04701
0.48382	1.1226	0.69637	0.58768	0.15075	0.31698	0.26174	0.44478	0.39462	0.28228	0.27172	0.15253	0.22087	0.15004	0.12125	0.06776
0.33634	0.38756	0.47817	0.39145	0.12306	0.10423	0.16184	0.24255	0.24072	0.19094	0.21846	0.10677	0.06473	0.0885	0.06074	0.03602
