A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.35508	1.0444	0.61443	0.4664	0.79773	1.03225	1.11961	0.90129	0.62446	0.47155	0.51195	0.45572	0.30633	0.22957	0.15073	0.07541
1.61391	8.01905	1.40852	0.45929	0.38008	0.98278	1.22248	1.13106	0.99538	0.59819	0.48427	0.39478	0.33907	0.2128	0.11242	0.07488
0.38699	2.52981	10.86782	1.08934	0.49476	0.58859	0.83352	1.10064	1.1424	0.78602	0.52286	0.3293	0.21125	0.1794	0.13411	0.10607
0.27209	0.51793	3.51488	10.51159	1.6859	0.91676	0.74609	1.07586	1.11545	1.0617	0.5856	0.32473	0.18897	0.12797	0.07442	0.04791
0.42789	0.31236	0.38297	2.49569	4.0657	2.16414	1.43488	1.24556	1.0999	1.18242	0.82135	0.5161	0.2555	0.11725	0.11261	0.09014
0.64533	0.3612	0.20344	0.70792	2.19138	3.18355	2.12062	1.66717	1.39163	1.19183	1.12148	0.63754	0.33962	0.13885	0.06129	0.03551
0.5475	0.68494	0.63443	0.36711	1.09595	1.90926	2.4405	1.99171	1.5497	1.23589	1.02885	0.79379	0.43647	0.19246	0.08922	0.07669
0.46924	0.71398	0.74653	0.62465	0.76768	1.45462	1.80734	2.38123	2.078	1.3839	1.05806	0.65791	0.48327	0.27338	0.1522	0.05958
0.33273	0.51216	0.73392	0.73591	0.96021	1.27994	1.66629	1.86843	2.23008	1.67977	1.23029	0.52496	0.41337	0.22325	0.14101	0.06562
0.18788	0.296	0.3965	0.76346	0.8325	1.02094	1.21703	1.39374	1.4818	1.52802	1.14535	0.60261	0.30562	0.15346	0.1235	0.10728
0.2236	0.26807	0.36963	0.57547	0.84531	1.27471	1.2454	1.21096	1.60471	1.69598	1.39222	0.94711	0.41757	0.15399	0.10566	0.0881
0.30458	0.31785	0.24915	0.40131	0.618	1.10979	1.34063	1.09121	1.22614	1.03237	1.22076	1.02472	0.60012	0.22827	0.11216	0.07614
0.27765	0.27988	0.20161	0.26942	0.4586	0.8003	0.96856	1.08573	0.97547	0.86985	0.78199	0.88175	0.57818	0.35626	0.21086	0.08616
0.15918	0.23799	0.22524	0.16528	0.26305	0.46728	0.63211	0.57705	0.63112	0.41931	0.45568	0.45175	0.45945	0.34375	0.20584	0.1002
0.08573	0.25698	0.24838	0.27975	0.11941	0.21234	0.23694	0.42188	0.50903	0.47499	0.30027	0.2275	0.41141	0.36603	0.3537	0.18601
0.08199	0.11787	0.19755	0.20054	0.09648	0.09456	0.17606	0.26674	0.31279	0.40639	0.34876	0.18477	0.12965	0.1976	0.20271	0.12533
