A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.55236	1.15798	0.56657	0.37796	0.58423	1.01419	1.25729	1.04333	0.62162	0.45804	0.48577	0.42532	0.28673	0.21145	0.13731	0.07445
1.74933	9.13789	1.42953	0.41895	0.33148	0.85922	1.24443	1.23843	1.05904	0.58537	0.46812	0.36308	0.3106	0.20083	0.10236	0.07433
0.37666	2.61777	11.84023	1.06289	0.44404	0.538	0.74195	1.0954	1.19793	0.78015	0.50423	0.30803	0.18976	0.15667	0.1167	0.09971
0.25868	0.51951	3.46046	10.46607	1.47371	0.79678	0.63421	0.94546	1.07752	1.04687	0.56201	0.29372	0.1615	0.10734	0.06039	0.04384
0.42441	0.31294	0.38858	2.41389	4.21923	2.02335	1.27938	1.10755	0.99174	1.17073	0.81928	0.48007	0.2188	0.09757	0.10184	0.08605
0.84185	0.39812	0.21495	0.69129	2.13608	3.41861	2.01942	1.55794	1.265	1.10637	1.08796	0.61087	0.30721	0.11892	0.05927	0.0402
0.89593	1.01537	0.74877	0.37652	1.08702	1.94503	2.76594	2.02054	1.4968	1.17212	0.98974	0.76563	0.41978	0.18085	0.09161	0.0827
0.85678	1.20443	1.0289	0.62762	0.73982	1.43547	1.82661	2.72761	2.05443	1.34579	1.00821	0.62546	0.46159	0.26347	0.15471	0.06172
0.56593	0.91827	1.08505	0.92221	0.91099	1.20691	1.59989	1.84283	2.38789	1.59387	1.14728	0.48418	0.37984	0.20175	0.13516	0.06422
0.37031	0.59309	0.68935	1.03854	0.87818	0.98362	1.15137	1.3677	1.42085	1.65349	1.09454	0.55486	0.27726	0.13306	0.11098	0.10154
0.54846	0.59205	0.78281	0.93929	1.0622	1.37153	1.23341	1.19436	1.54496	1.66351	1.56706	0.9348	0.40886	0.15282	0.10887	0.09771
0.95293	0.96571	0.62479	0.79203	0.84978	1.37196	1.47697	1.13546	1.21149	1.04778	1.28436	1.26687	0.64796	0.26264	0.12945	0.09302
1.03761	0.95156	0.58326	0.60842	0.62415	0.96971	1.13363	1.19932	0.99067	0.83678	0.81245	0.92116	0.80458	0.42357	0.25018	0.10297
0.63757	0.903	0.70384	0.3799	0.40274	0.54778	0.77798	0.75074	0.69504	0.39833	0.45289	0.47745	0.47832	0.50635	0.22684	0.10952
0.34511	0.91586	0.70737	0.60621	0.19448	0.3944	0.35707	0.64245	0.66491	0.50959	0.3847	0.29402	0.51208	0.44821	0.50741	0.21072
0.28612	0.36666	0.50436	0.40511	0.15283	0.1467	0.23213	0.3292	0.3304	0.34803	0.34241	0.20182	0.15414	0.22163	0.1969	0.15248
