A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.47171	0.96184	0.43615	0.29754	0.44916	0.82616	1.05359	0.86679	0.50099	0.38277	0.38928	0.33563	0.21811	0.15753	0.10117	0.05625
1.61223	8.8963	1.22154	0.33661	0.28419	0.7465	1.09714	1.08647	0.92514	0.52245	0.42118	0.30915	0.25667	0.16312	0.08247	0.06023
0.28153	2.35055	11.23142	0.8793	0.35428	0.46071	0.63026	0.94264	1.02329	0.67419	0.43862	0.26667	0.15608	0.12183	0.08993	0.07817
0.20518	0.4115	3.15789	9.68543	1.18236	0.64041	0.52281	0.79507	0.91132	0.90007	0.48229	0.25326	0.13075	0.08613	0.04802	0.03616
0.3315	0.24316	0.3017	2.11439	3.68729	1.64288	1.06767	0.93105	0.85735	1.00902	0.72749	0.40494	0.14796	0.07392	0.081	0.06936
0.61253	0.2891	0.15751	0.49551	1.66429	2.7002	1.60529	1.23364	1.0489	0.90735	0.92753	0.49742	0.19879	0.083	0.04543	0.03234
0.74479	0.85229	0.63329	0.30617	0.93767	1.66257	2.51271	1.77031	1.36366	1.06338	0.92353	0.68573	0.32319	0.14678	0.07899	0.07219
0.63941	0.9086	0.78091	0.45024	0.59955	1.15059	1.52035	2.29144	1.77163	1.1582	0.91281	0.5235	0.3359	0.20083	0.12165	0.04866
0.4127	0.67823	0.82567	0.70456	0.76512	1.01209	1.39775	1.58429	2.15813	1.4365	1.09711	0.43197	0.26631	0.15174	0.10771	0.05149
0.42735	0.71594	0.87001	1.26177	1.07959	1.06795	1.25126	1.47917	1.61798	2.01471	1.31487	0.61867	0.28993	0.1643	0.15486	0.14513
0.70682	0.71355	0.95492	1.14865	1.40874	1.68581	1.45771	1.35201	1.8187	1.99364	2.07963	1.15829	0.46972	0.20761	0.15746	0.14685
1.18662	1.17423	0.75128	0.93924	1.06971	1.68875	1.81022	1.29879	1.38323	1.20419	1.59368	1.69931	0.79225	0.36035	0.18638	0.13677
0.99763	0.91377	0.56405	0.56343	0.56257	0.853	1.02339	1.03153	0.8298	0.6629	0.68741	0.83	0.84285	0.44757	0.27579	0.1143
0.78551	1.11018	0.86715	0.47007	0.49097	0.64001	0.95423	0.97774	0.85849	0.47627	0.53079	0.5994	0.62977	0.74787	0.31313	0.15509
0.43263	1.15689	0.91158	0.78784	0.26555	0.53682	0.48616	0.88704	0.93125	0.71755	0.52756	0.41037	0.72362	0.63972	0.7687	0.30197
0.42841	0.5472	0.75824	0.61543	0.24031	0.2355	0.37632	0.5166	0.52652	0.57194	0.55522	0.33332	0.25789	0.3694	0.33253	0.27393
