A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.75481	1.68533	0.90412	0.58842	0.94478	1.49656	1.74185	1.44925	0.91389	0.65206	0.73886	0.66683	0.4666	0.35409	0.23191	0.12032
2.10222	9.74277	1.93771	0.61801	0.44846	1.1423	1.57168	1.56671	1.35021	0.73078	0.58427	0.49668	0.44446	0.29316	0.15056	0.1074
0.48968	2.59826	10.39874	1.18751	0.526	0.57626	0.79668	1.13542	1.24887	0.80855	0.52224	0.32392	0.21612	0.19175	0.14362	0.11976
0.25502	0.50446	3.07441	9.04635	1.25903	0.68299	0.52591	0.79007	0.87225	0.8489	0.46297	0.24544	0.14014	0.09693	0.0562	0.03849
0.41839	0.30107	0.35435	2.33714	3.52329	1.53377	0.91806	0.71815	0.66238	0.81992	0.54563	0.33831	0.13288	0.08107	0.08821	0.07203
0.89964	0.42759	0.22393	0.63766	1.7727	2.68381	1.61329	1.12348	0.88043	0.81035	0.78325	0.43075	0.19858	0.10085	0.0576	0.03569
0.96989	1.08953	0.79066	0.35073	0.86934	1.60875	2.11265	1.52873	1.07321	0.82514	0.74309	0.57381	0.31797	0.16627	0.09332	0.08225
0.96838	1.35933	1.15281	0.61967	0.55006	1.08794	1.43755	1.96579	1.4589	0.92874	0.65928	0.45426	0.40829	0.26259	0.16244	0.06441
0.64948	1.03701	1.18348	0.90354	0.68966	0.85583	1.16745	1.31489	1.64009	1.07974	0.7147	0.29326	0.28103	0.19384	0.13735	0.06461
0.36924	0.62024	0.71413	0.93092	0.6965	0.68646	0.75036	0.87719	0.92459	1.05925	0.72225	0.32171	0.18542	0.11078	0.10472	0.09227
0.52202	0.54541	0.71089	0.79601	0.77588	0.9095	0.74849	0.65998	0.84792	0.94716	0.83204	0.53652	0.24824	0.11415	0.08763	0.07366
0.7964	0.79034	0.49643	0.59818	0.56239	0.86645	0.85461	0.59289	0.58955	0.53665	0.68437	0.62316	0.37224	0.17858	0.08961	0.06207
0.84154	0.76805	0.4622	0.45661	0.38754	0.56691	0.64998	0.64442	0.48232	0.37338	0.39354	0.46792	0.43023	0.2767	0.16875	0.06793
0.60105	0.83868	0.64304	0.33897	0.33303	0.40177	0.59972	0.60216	0.51744	0.26953	0.30704	0.34234	0.3438	0.33636	0.17388	0.08257
0.26482	0.69174	0.51652	0.43896	0.13215	0.27307	0.24735	0.4346	0.43841	0.33134	0.25864	0.19013	0.32823	0.28129	0.28528	0.13384
0.23602	0.30247	0.41105	0.33053	0.11781	0.10961	0.17121	0.25686	0.25259	0.25202	0.25291	0.14365	0.10615	0.15458	0.13583	0.09286
