A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.19147	0.98166	0.52555	0.33745	0.53621	0.85581	1.02532	0.8725	0.54646	0.37983	0.42642	0.38131	0.2685	0.2044	0.13477	0.07037
1.65228	8.30322	1.40018	0.41821	0.32144	0.81689	1.14154	1.16134	1.01476	0.55536	0.44337	0.34833	0.30514	0.19946	0.10189	0.07244
0.34919	2.64824	12.14313	0.99472	0.41148	0.51746	0.68446	1.01198	1.12137	0.74542	0.49265	0.30125	0.1793	0.14285	0.10384	0.08906
0.21758	0.42503	3.5503	10.83649	1.19278	0.68095	0.56938	0.8323	0.90161	0.89967	0.50099	0.28201	0.14397	0.08962	0.04562	0.03168
0.35025	0.25366	0.29796	2.28692	3.60516	1.60613	1.05417	0.95307	0.85306	0.96493	0.69153	0.43257	0.21924	0.09248	0.07582	0.06176
0.70087	0.33839	0.17604	0.55864	1.74879	2.76564	1.7197	1.36808	1.19816	1.02189	0.99738	0.59005	0.33382	0.12697	0.04745	0.02993
0.80601	0.92614	0.67269	0.32609	0.94546	1.73169	2.39119	1.83944	1.46519	1.17637	0.9742	0.7702	0.43884	0.18898	0.07889	0.07025
0.80189	1.13945	0.96427	0.56426	0.6591	1.32126	1.69473	2.46531	2.05746	1.38057	1.06319	0.66663	0.47085	0.2604	0.13765	0.0548
0.58018	0.94927	1.10448	0.90035	0.88849	1.22454	1.6422	1.90705	2.53254	1.80394	1.34064	0.59948	0.46533	0.22875	0.13102	0.06174
0.40433	0.66554	0.78021	1.1056	0.92942	1.05008	1.25493	1.50455	1.66677	1.88596	1.31676	0.72534	0.37108	0.17815	0.1189	0.10534
0.58776	0.59907	0.79889	0.94519	1.10095	1.44975	1.33803	1.3197	1.83616	1.9865	1.81668	1.17893	0.52788	0.18427	0.11244	0.0955
1.18134	1.16741	0.74532	0.94123	1.04501	1.66481	1.79272	1.39865	1.59761	1.40726	1.72297	1.62285	0.90038	0.34643	0.15451	0.10667
1.42241	1.31968	0.8113	0.8167	0.85023	1.33962	1.55433	1.66569	1.4706	1.28744	1.24844	1.43763	1.1099	0.59815	0.32879	0.13395
1.02472	1.44561	1.13111	0.61259	0.66502	0.93654	1.29535	1.19636	1.17699	0.70491	0.82035	0.83173	0.82257	0.74743	0.35004	0.16586
0.51278	1.36021	1.04674	0.89114	0.27549	0.55516	0.51075	0.91295	0.94286	0.71685	0.54398	0.41209	0.72602	0.63342	0.67915	0.30457
0.41534	0.53393	0.74031	0.59445	0.21629	0.20319	0.32424	0.47196	0.47505	0.49107	0.48075	0.27801	0.21307	0.31005	0.27902	0.20235
