A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.69525	2.2465	1.31872	0.78752	1.02705	1.50293	1.66849	1.51205	1.06602	0.78427	0.92576	0.85719	0.61781	0.48273	0.31712	0.15934
2.18417	7.44138	2.31485	0.84476	0.53803	1.18054	1.39253	1.47191	1.32441	0.77915	0.65431	0.64642	0.59177	0.38412	0.19328	0.13996
0.96723	3.52441	11.08416	1.57137	0.75408	0.81018	0.96559	1.23354	1.35719	0.96409	0.68336	0.44505	0.32208	0.29247	0.21135	0.17169
0.58278	1.12443	3.6042	9.50026	2.02698	1.15338	0.85161	1.1154	1.11902	1.07964	0.63539	0.35684	0.25396	0.17556	0.10129	0.06517
0.81532	0.73379	0.69984	2.9963	4.14143	2.20434	1.4515	1.15226	0.99667	1.0727	0.75917	0.52224	0.26419	0.13348	0.13198	0.10357
1.25529	0.69215	0.38652	0.93115	1.93511	2.68315	1.89185	1.52661	1.24796	1.0779	0.98577	0.57416	0.31953	0.14475	0.05825	0.0357
1.14378	1.26736	0.86417	0.46311	0.98118	1.64478	1.96028	1.72446	1.40828	1.14358	0.92676	0.68344	0.39703	0.17215	0.07261	0.062
1.19959	1.50461	1.02821	0.70124	0.60561	1.23405	1.46377	1.8722	1.7409	1.22157	0.9711	0.58274	0.39352	0.2115	0.10189	0.04176
0.90119	1.31903	1.03941	0.71097	0.69628	1.07556	1.42913	1.53361	1.72377	1.384	1.09339	0.47057	0.39778	0.19073	0.08442	0.03885
0.55966	0.97082	0.80686	0.86863	0.59731	0.86353	1.06797	1.25679	1.20254	1.20288	0.94258	0.54882	0.28495	0.13642	0.0699	0.05989
0.70292	0.73869	0.7854	0.73401	0.61031	0.97495	1.07574	1.07472	1.39893	1.39739	1.12088	0.76983	0.34159	0.11711	0.06811	0.05467
1.16794	1.30891	0.67134	0.7259	0.56006	0.95499	1.10601	0.98989	1.09085	0.99912	1.01561	0.70942	0.41669	0.17364	0.06555	0.05424
1.04153	1.14783	0.62034	0.55839	0.42756	0.68788	0.84079	0.93684	0.92551	0.8302	0.76484	0.6667	0.31953	0.19475	0.10512	0.04145
0.68562	1.03788	0.75111	0.36001	0.28725	0.48079	0.59164	0.51448	0.60669	0.42287	0.50608	0.38504	0.27495	0.14707	0.08485	0.0491
0.31291	0.88168	0.63046	0.49074	0.11177	0.21236	0.17109	0.27907	0.29617	0.28819	0.31039	0.19166	0.22467	0.13281	0.10471	0.05869
0.48729	0.68237	0.80065	0.62442	0.14618	0.14504	0.17392	0.35712	0.26685	0.34606	0.47673	0.2597	0.1084	0.16055	0.07247	0.03665
