A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.49298	2.25794	1.29035	0.80491	1.20912	1.78223	1.99922	1.72664	1.16728	0.82549	0.96415	0.87914	0.63496	0.50258	0.33429	0.16787
2.25885	8.28806	2.3624	0.83296	0.54699	1.27992	1.62093	1.66589	1.46079	0.79447	0.64022	0.60587	0.56499	0.38297	0.19615	0.14187
0.81641	3.27249	11.1364	1.51847	0.72194	0.74834	0.97057	1.29887	1.43179	0.95926	0.645	0.41004	0.28865	0.26745	0.1971	0.1645
0.47419	0.91463	3.29051	8.91054	1.91663	1.02834	0.7541	1.04537	1.12842	1.05026	0.5952	0.31591	0.20976	0.15551	0.08893	0.05887
0.67121	0.50205	0.54462	2.5524	3.84932	2.05981	1.28947	1.02334	0.92442	1.02281	0.72753	0.47453	0.23028	0.1218	0.12013	0.09702
1.15731	0.56219	0.28715	0.80177	1.96625	2.76455	1.84769	1.39704	1.16936	0.98369	0.94157	0.54255	0.28603	0.13418	0.05835	0.03441
0.99442	1.09613	0.74277	0.37604	0.88813	1.59341	1.96678	1.6306	1.30187	1.00183	0.8419	0.63743	0.34291	0.16569	0.07133	0.06341
0.90704	1.19696	0.89913	0.58598	0.53912	1.08292	1.36548	1.78178	1.6215	1.06306	0.83818	0.50171	0.33741	0.19343	0.10014	0.04003
0.61881	0.93928	0.88525	0.71122	0.65	0.95195	1.28435	1.42414	1.74006	1.29404	1.00198	0.42636	0.3081	0.15325	0.07986	0.03761
0.3818	0.63162	0.62177	0.80482	0.57484	0.72675	0.90195	1.05866	1.12897	1.10294	0.85401	0.47169	0.21967	0.10711	0.06114	0.05227
0.50363	0.5618	0.68614	0.74925	0.64746	0.91664	0.94342	0.93782	1.30274	1.3002	1.09889	0.73013	0.29861	0.10198	0.0564	0.04445
0.74939	0.80676	0.4928	0.60662	0.50012	0.82576	0.94516	0.80428	0.96874	0.81228	0.9233	0.70296	0.37977	0.14212	0.05257	0.03744
0.65262	0.63111	0.36921	0.38455	0.34328	0.55028	0.63352	0.72064	0.69299	0.62287	0.59559	0.57634	0.29946	0.17411	0.08176	0.03203
0.41736	0.61572	0.46204	0.25006	0.24083	0.37048	0.45594	0.35714	0.41161	0.2774	0.35321	0.29778	0.23551	0.1406	0.08004	0.03566
0.2157	0.58248	0.41204	0.32764	0.08478	0.16507	0.13369	0.22833	0.22118	0.18245	0.17322	0.1207	0.18706	0.14242	0.12029	0.06615
0.17205	0.22297	0.28853	0.2249	0.07093	0.0627	0.08564	0.13206	0.12059	0.12577	0.14107	0.0804	0.05184	0.07659	0.05833	0.03357
