A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.47288	1.95282	1.14304	0.70341	1.08015	1.57411	1.73839	1.51427	1.03533	0.71765	0.86162	0.78634	0.57785	0.45687	0.30555	0.15357
2.16692	7.98471	2.26126	0.78128	0.51983	1.22868	1.56254	1.60903	1.41007	0.76619	0.61691	0.58341	0.54469	0.36841	0.1889	0.1368
0.7993	2.80727	8.50753	1.4109	0.68959	0.68054	0.89806	1.18974	1.32125	0.874	0.57862	0.36969	0.27398	0.26213	0.19545	0.1624
0.46174	0.89078	2.59157	6.7613	1.92913	1.02784	0.74081	0.99987	1.0989	1.00766	0.56977	0.29441	0.20928	0.16036	0.08786	0.05815
0.66809	0.49588	0.52758	2.53194	3.91693	2.21085	1.42629	1.18675	1.02737	1.12235	0.80417	0.51916	0.27785	0.13763	0.11685	0.09453
1.17198	0.57743	0.28793	0.85513	2.12815	3.08881	2.0793	1.63925	1.35939	1.15004	1.07571	0.62268	0.36098	0.16956	0.05753	0.03376
1.07193	1.17931	0.78132	0.41922	1.05251	1.87957	2.32683	1.94704	1.53988	1.23733	0.99112	0.75406	0.42705	0.21235	0.07571	0.06738
1.09659	1.4404	1.04802	0.71241	0.69562	1.38989	1.6987	2.23271	1.98153	1.36297	1.05289	0.62712	0.42687	0.24854	0.11543	0.04606
0.69323	1.04837	0.95766	0.75588	0.79079	1.1748	1.55178	1.70554	2.01837	1.57962	1.19282	0.51723	0.39149	0.19671	0.08794	0.04122
0.42171	0.72692	0.70266	0.87359	0.69874	0.93201	1.14716	1.34424	1.37627	1.40741	1.04957	0.60104	0.29699	0.15416	0.06747	0.05782
0.48034	0.50716	0.60266	0.6858	0.68436	1.06414	1.11611	1.12681	1.50745	1.55817	1.28802	0.8531	0.37118	0.12589	0.05407	0.04213
0.7339	0.79626	0.46509	0.59267	0.56177	0.94371	1.12376	0.97797	1.15342	1.009	1.09845	0.84068	0.47283	0.17426	0.05307	0.03711
0.734	0.73633	0.43257	0.42236	0.45553	0.7606	0.86479	0.98797	0.95446	0.91276	0.83889	0.81164	0.42399	0.23983	0.09613	0.0385
0.56674	0.86662	0.64384	0.34814	0.35535	0.61438	0.71816	0.52722	0.64213	0.47209	0.5964	0.48021	0.39069	0.20543	0.10259	0.04798
0.19999	0.55776	0.38863	0.30357	0.07917	0.1554	0.1296	0.2197	0.21663	0.17893	0.17181	0.12256	0.18255	0.14073	0.12203	0.06566
0.17851	0.23935	0.30153	0.21935	0.07105	0.06299	0.08772	0.13077	0.12175	0.13262	0.1481	0.08486	0.05589	0.08155	0.05902	0.03391
