A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.90952	1.51321	0.95525	0.6389	0.98713	1.30061	1.42859	1.1771	0.81105	0.59184	0.66522	0.61094	0.44552	0.3399	0.228	0.11301
1.91886	8.00275	1.96373	0.69462	0.46813	1.1147	1.41304	1.34904	1.17753	0.65234	0.52274	0.45882	0.44226	0.28755	0.15051	0.10647
0.64233	2.97073	11.2011	1.52945	0.67252	0.67147	0.96017	1.25218	1.31276	0.87687	0.58732	0.36872	0.25438	0.2243	0.17017	0.14209
0.37366	0.72315	3.41481	9.45764	2.07343	1.04327	0.78542	1.13176	1.21145	1.07202	0.58942	0.32124	0.21305	0.15165	0.08879	0.05879
0.58454	0.398	0.52489	2.9735	4.40998	2.21545	1.40246	1.15153	1.05533	1.14554	0.78647	0.5166	0.26489	0.13401	0.12665	0.10219
0.9131	0.45699	0.23906	0.81997	2.15981	2.89726	1.90432	1.4068	1.15961	1.00671	0.95861	0.55582	0.31943	0.14656	0.06268	0.03606
0.76651	0.96358	0.83883	0.39759	0.97185	1.66298	2.12183	1.68886	1.26921	0.98563	0.85558	0.65697	0.39915	0.18831	0.08507	0.072
0.67042	0.99756	1.0774	0.81	0.64259	1.14556	1.5098	1.98242	1.67182	1.07099	0.81111	0.52049	0.42191	0.2465	0.13758	0.05427
0.46679	0.72576	1.0024	1.05033	0.86519	0.9678	1.28752	1.46781	1.79856	1.27097	0.9235	0.39422	0.34624	0.1932	0.11306	0.05278
0.3056	0.44952	0.63005	1.07493	0.85206	0.78878	0.89452	1.02364	1.11085	1.11392	0.84123	0.42995	0.23069	0.12262	0.08379	0.07368
0.37133	0.41317	0.65427	0.89526	0.86208	1.01431	0.94724	0.85859	1.14944	1.21007	1.03449	0.67448	0.3007	0.10641	0.06412	0.05865
0.54589	0.49595	0.39424	0.66444	0.63412	0.95284	1.00311	0.76002	0.8422	0.70229	0.8415	0.72922	0.44144	0.14744	0.06005	0.03991
0.63194	0.49888	0.32604	0.47043	0.49997	0.74639	0.88601	0.91744	0.76701	0.63958	0.59728	0.67946	0.47541	0.27602	0.11967	0.04792
0.26864	0.34613	0.31213	0.2196	0.29251	0.45848	0.59459	0.4927	0.54417	0.31925	0.36423	0.34021	0.36293	0.27528	0.14133	0.05774
0.16595	0.40607	0.36923	0.3711	0.10727	0.2061	0.22985	0.42906	0.42412	0.29239	0.19138	0.13515	0.25074	0.23801	0.2214	0.14135
0.14365	0.17894	0.30205	0.31142	0.10756	0.09025	0.14775	0.309	0.28594	0.26857	0.2668	0.10172	0.08536	0.13235	0.15406	0.09373
