"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"GUY",2019.5,"all","all","all","all","Ds","stock",NA,"all","all","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.504,0.361,0.797,0.218,"TB_subclinpr_0_99","ratio"
"GUY",2019.5,"all","high","all","all","Ds, Dc","stock",NA,"all","low","all","all","Ds,Dc","stock",NA,"x/y",0,99,0.674,0.575,0.801,0.113,"TB_prr_0_99","ratio"
"GUY",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,8.690600886,6.403600653,10.97760112,2.2870002335,"TB_inci_0_14","inci"
"GUY",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,106.3550699,79.76630246,134.7164219,27.47505972,"TB_inci_15_99","inci"
"GUY",2019.5,"all","all","all","all","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,79.20539108,60.04279646,99.645492,19.80134777,"TB_inci_0_99","inci"
"GUY",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,14,6.8610007,5.48880056,8.23320084,1.37220014,"TB_notif_0_14","inci"
"GUY",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",15,99,85.43857286,68.35085829,102.5262874,17.087714555,"TB_notif_15_99","inci"
"GUY",2019.5,"all","all","all","all","T","inflow","TBtr_init","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,63.49206349,50.79365079,76.19047619,12.6984127,"TB_notif_0_99","inci"
"GUY",2019.5,"all","all","all","all","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,18,17,20,1.5,"TB_deaths_0_99","inci"
"GUY",2019.5,"all","all","all","HIV1,ART1","all","stock",NA,"all","all","all","all","all","stock",NA,"x/y",0,99,0.011114305,0.009964549,0.012391811,0.001213631,"HIV_prev_0_99","ratio"
"GUY",2019.5,"all","all","all","ART1","all","stock",NA,"all","all","all","HIV1,ART1","all","stock",NA,"x/y",0,99,0.69,0.62,0.77,0.075,"HIV_artcov_0_99","ratio"
"GUY",2019.5,"all","all","all","HIV1,ART1","Ds","inflow","Tm, TBp, TBtr_LfLsDs, TBtr_RDs","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,15,11,20,4.5,"TB_newhivinf_0_99","inci"
"GUY",2019.5,"all","all","all","HIV1,ART1","TBdead","inflow","TBp,TBtr_died","all","all","all","all","all","stock",NA,"1e5*x/y",0,99,3.2,1.2,5.6,2.2,"TB_morthiv_0_99","inci"
