A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.29816	1.73196	1.03757	0.65619	1.03887	1.5038	1.66649	1.43002	0.95745	0.64772	0.78146	0.71254	0.5229	0.40537	0.26843	0.13606
2.21961	9.08096	2.24408	0.77309	0.52307	1.27001	1.67415	1.69482	1.48006	0.795	0.63057	0.57056	0.52603	0.35144	0.18094	0.12947
0.69121	3.07054	11.1633	1.4773	0.67885	0.70665	0.95707	1.31497	1.46147	0.95408	0.62284	0.38933	0.27088	0.24773	0.18447	0.15301
0.41341	0.81439	3.30119	9.08451	1.81178	0.95123	0.68584	1.00504	1.11952	1.05829	0.58292	0.2956	0.19526	0.14549	0.08752	0.05858
0.59698	0.44671	0.51836	2.63205	3.97036	1.91947	1.13834	0.84447	0.79601	0.98392	0.66415	0.42747	0.18742	0.11141	0.12093	0.09815
1.00886	0.49207	0.26067	0.722	1.81035	2.59187	1.63159	1.13988	0.89469	0.82537	0.79804	0.44833	0.22561	0.11349	0.0592	0.03557
0.92777	1.04095	0.75053	0.34887	0.79304	1.44869	1.8249	1.39253	1.00657	0.78659	0.69494	0.52915	0.30097	0.15372	0.08049	0.07036
0.86986	1.19491	0.97693	0.56624	0.46915	0.93094	1.21851	1.58962	1.26639	0.83007	0.60592	0.39619	0.33775	0.21025	0.12456	0.04932
0.62458	0.97466	1.03432	0.79657	0.59343	0.765	1.04933	1.16078	1.39269	0.9852	0.68026	0.27882	0.25927	0.16527	0.10808	0.05106
0.38324	0.63813	0.69508	0.88419	0.6182	0.63486	0.7194	0.837	0.86883	0.94033	0.68278	0.32132	0.18243	0.10224	0.08573	0.07446
0.50459	0.54001	0.69256	0.75763	0.65699	0.79805	0.71224	0.63915	0.82731	0.90866	0.75285	0.49808	0.22959	0.09561	0.06878	0.0563
0.61629	0.63453	0.40339	0.49274	0.40571	0.64882	0.67067	0.49755	0.52616	0.4744	0.55506	0.44672	0.26855	0.11697	0.05434	0.03792
0.59379	0.54245	0.32374	0.34248	0.27538	0.41921	0.48425	0.50339	0.40589	0.3485	0.3368	0.3451	0.25635	0.1632	0.09169	0.03656
0.46597	0.65062	0.49589	0.26413	0.25172	0.32042	0.45143	0.41805	0.38474	0.21346	0.24735	0.24781	0.23019	0.19981	0.10997	0.05047
0.17447	0.4514	0.32591	0.27677	0.07747	0.1576	0.13863	0.24055	0.23715	0.18009	0.14829	0.10523	0.17502	0.14491	0.13718	0.06975
0.16022	0.20316	0.27087	0.21879	0.07399	0.06682	0.10086	0.15263	0.14772	0.14237	0.14799	0.08229	0.0588	0.08598	0.07235	0.04638
