A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.01773	1.19388	0.62827	0.41446	0.64929	1.0245	1.23596	1.04495	0.66203	0.47111	0.51105	0.45761	0.3148	0.24019	0.15722	0.08042
1.65467	7.93478	1.4831	0.46511	0.34543	0.87518	1.19911	1.2094	1.06633	0.57901	0.45718	0.37407	0.33314	0.21937	0.11309	0.07979
0.42157	2.55196	10.80319	1.0884	0.47306	0.5419	0.74233	1.06711	1.18396	0.77411	0.5054	0.31015	0.19806	0.16966	0.12613	0.10581
0.28428	0.57558	3.08512	8.95391	1.49667	0.80655	0.61359	0.90899	1.03057	0.98689	0.53901	0.27805	0.16653	0.11746	0.06826	0.04659
0.47788	0.35054	0.43578	2.40693	3.9195	2.00759	1.25573	1.02272	0.94286	1.12021	0.7815	0.49005	0.23242	0.1122	0.11274	0.09235
0.87476	0.42238	0.22418	0.69878	2.03036	3.38605	2.15365	1.66292	1.38488	1.19171	1.15931	0.67296	0.36129	0.14288	0.06087	0.03724
0.8313	0.93648	0.70624	0.34219	0.9572	1.95642	2.6514	2.05829	1.58288	1.26805	1.03931	0.80797	0.44919	0.19445	0.08685	0.07602
0.77889	1.09678	0.95893	0.58249	0.63034	1.45142	1.84329	2.58063	2.12565	1.42193	1.08286	0.66314	0.46945	0.26128	0.14352	0.05682
0.50644	0.81259	0.96152	0.78758	0.77696	1.25038	1.6605	1.87201	2.34574	1.70378	1.24923	0.54224	0.40719	0.20266	0.12079	0.05698
0.34123	0.57715	0.69456	0.97885	0.8355	1.069	1.28683	1.49674	1.58965	1.74802	1.2308	0.6583	0.32881	0.15761	0.11408	0.10036
0.52437	0.51475	0.70134	0.84774	0.98956	1.43539	1.35131	1.29911	1.72667	1.85272	1.63611	1.06058	0.46235	0.16418	0.10615	0.08908
0.80564	0.78264	0.51003	0.66776	0.75838	1.34573	1.51149	1.18851	1.33553	1.15426	1.37198	1.21404	0.66657	0.24819	0.11165	0.07633
0.91044	0.82967	0.51807	0.53309	0.57752	1.02154	1.19538	1.27318	1.11503	0.98408	0.92422	1.03149	0.73046	0.40215	0.22172	0.08992
0.55073	0.77017	0.61199	0.33767	0.37653	0.59686	0.81262	0.71388	0.72394	0.44143	0.5086	0.4965	0.48414	0.41006	0.20331	0.09557
0.30846	0.81417	0.63379	0.54813	0.17191	0.34937	0.33132	0.58829	0.60942	0.4611	0.3434	0.25898	0.4593	0.4028	0.41786	0.19432
0.25032	0.32197	0.45286	0.36726	0.13677	0.13043	0.21262	0.3116	0.31459	0.32328	0.30862	0.17926	0.13921	0.20267	0.18504	0.12934
