A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.63536	1.15316	0.70214	0.46095	0.73347	1.0627	1.16854	0.98511	0.66127	0.45221	0.54877	0.50352	0.36852	0.27987	0.1841	0.09414
1.79359	7.99832	1.69247	0.57853	0.41055	1.00647	1.33609	1.3215	1.15514	0.63191	0.51026	0.44872	0.41004	0.26891	0.13785	0.09742
0.52889	2.72165	10.83661	1.22283	0.55959	0.61381	0.82386	1.14256	1.25231	0.82615	0.54619	0.34287	0.23094	0.2053	0.15134	0.12427
0.32473	0.6302	3.49618	10.14638	1.48417	0.80871	0.61049	0.91042	0.98896	0.95139	0.52546	0.28184	0.17082	0.12062	0.07079	0.04698
0.4781	0.35353	0.41004	2.65318	3.83141	1.66497	1.00906	0.78421	0.72658	0.87147	0.58543	0.36661	0.15548	0.0931	0.10145	0.08242
0.83531	0.40604	0.21862	0.61989	1.68523	2.68765	1.74812	1.29459	1.05821	0.88219	0.85548	0.43451	0.2242	0.0989	0.05692	0.03439
0.88923	0.99484	0.74336	0.33979	0.84725	1.73845	2.30255	1.78941	1.33832	0.97929	0.86264	0.60347	0.34899	0.16521	0.09252	0.08173
0.92635	1.2822	1.09441	0.60176	0.55539	1.27454	1.71046	2.29458	1.8649	1.14063	0.85411	0.50419	0.44921	0.27105	0.16834	0.06645
0.72288	1.12574	1.28305	0.97532	0.77104	1.12342	1.58758	1.79476	2.19217	1.44626	1.02256	0.37273	0.36839	0.23057	0.16333	0.07614
0.41552	0.70454	0.81869	1.04629	0.80494	0.87231	1.01058	1.19843	1.28133	1.32262	0.97238	0.40242	0.25181	0.13812	0.13236	0.1152
0.5681	0.57803	0.75528	0.84569	0.84053	1.10592	1.00092	0.92782	1.22681	1.24651	1.08321	0.6423	0.31397	0.12908	0.10004	0.08315
0.66749	0.65625	0.41555	0.49949	0.47686	0.79874	0.85022	0.62017	0.65457	0.54367	0.69109	0.55301	0.3568	0.15639	0.07956	0.05411
0.61087	0.56143	0.33808	0.34903	0.30213	0.5045	0.60142	0.62835	0.52127	0.4084	0.40314	0.40938	0.33669	0.2113	0.12696	0.051
0.37157	0.52194	0.41001	0.22011	0.2121	0.26292	0.39246	0.39143	0.35001	0.17971	0.19964	0.22212	0.23206	0.21465	0.11597	0.05501
0.17579	0.46391	0.35336	0.31045	0.09079	0.18809	0.16905	0.30215	0.30825	0.23158	0.17565	0.12924	0.23018	0.19747	0.19535	0.09342
0.15892	0.20317	0.27666	0.22743	0.08284	0.07856	0.12258	0.1805	0.1804	0.18122	0.17896	0.09981	0.07528	0.11144	0.09936	0.06611
