A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.62502	1.14394	0.6121	0.39621	0.62872	1.01694	1.2224	1.02736	0.63496	0.44702	0.49959	0.44729	0.31245	0.23676	0.15547	0.08089
1.881	9.52583	1.56196	0.4695	0.36414	0.92782	1.31078	1.31872	1.14145	0.62699	0.50318	0.39199	0.34123	0.22272	0.11325	0.0801
0.44608	2.85236	12.44442	1.17854	0.50406	0.59255	0.80829	1.18367	1.30408	0.84912	0.55275	0.33921	0.21246	0.17862	0.13163	0.1116
0.28638	0.5745	3.49619	10.35677	1.47356	0.78724	0.60559	0.92257	1.04501	1.01783	0.5481	0.28843	0.16372	0.1144	0.06549	0.04517
0.38521	0.28287	0.34822	2.02164	3.39681	1.62678	1.00184	0.82763	0.78351	0.94538	0.65326	0.4017	0.18027	0.09047	0.08946	0.07371
0.68405	0.32329	0.1706	0.51351	1.58339	2.48816	1.50002	1.13861	0.97516	0.86136	0.83869	0.47884	0.23994	0.10423	0.04639	0.02902
0.68906	0.77454	0.56282	0.26327	0.76479	1.40072	1.91405	1.43463	1.11945	0.89924	0.75046	0.58172	0.3137	0.14739	0.06848	0.06097
0.77652	1.09284	0.92332	0.50972	0.56367	1.11307	1.43347	2.08497	1.66214	1.10793	0.82701	0.52851	0.39857	0.23889	0.13619	0.05421
0.61156	0.98906	1.15517	0.88907	0.81271	1.04926	1.41042	1.63497	2.17788	1.49822	1.06201	0.45975	0.37227	0.21962	0.14075	0.06635
0.36705	0.62568	0.74173	1.00184	0.84873	0.88915	1.00913	1.2144	1.34708	1.5762	1.06738	0.54428	0.27938	0.15132	0.1182	0.10468
0.58121	0.56795	0.75658	0.87889	1.02737	1.26858	1.08571	1.0294	1.4172	1.57054	1.44142	0.91642	0.40438	0.16502	0.11226	0.0955
0.96886	0.94128	0.59435	0.74151	0.8271	1.30068	1.35751	1.01291	1.12179	1.00446	1.24027	1.17052	0.63438	0.27172	0.12817	0.08842
1.1854	1.08255	0.65943	0.65302	0.64835	0.99861	1.15372	1.1914	0.99431	0.83701	0.82738	0.96451	0.81593	0.46711	0.2741	0.11117
0.82492	1.15452	0.89215	0.48075	0.5152	0.70305	0.99915	0.94652	0.89244	0.51195	0.58476	0.60618	0.59545	0.58358	0.27795	0.13165
0.46292	1.21585	0.92619	0.79962	0.24965	0.5109	0.46846	0.83415	0.85823	0.64968	0.49395	0.37307	0.65562	0.57216	0.60882	0.27216
0.33082	0.42307	0.58078	0.46817	0.17261	0.164	0.26085	0.38137	0.38328	0.39099	0.38427	0.22199	0.16873	0.24568	0.21986	0.15914
