A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.07057	0.91955	0.42582	0.28557	0.42094	0.73883	0.95635	0.78845	0.47053	0.35588	0.35824	0.31572	0.20526	0.1561	0.10068	0.05324
1.49139	7.90399	1.1653	0.33109	0.26875	0.68434	0.96077	0.97729	0.86053	0.47854	0.38754	0.28472	0.24338	0.15779	0.07971	0.05571
0.29539	2.21007	10.149	0.84421	0.3465	0.43392	0.57301	0.8542	0.95453	0.63015	0.41273	0.25242	0.15067	0.12085	0.08773	0.07516
0.1928	0.38035	2.88587	8.72812	0.99519	0.54994	0.44728	0.67611	0.74469	0.7435	0.4068	0.22179	0.11655	0.0763	0.04204	0.02912
0.34	0.24798	0.3005	1.97464	3.04122	1.23667	0.74991	0.59502	0.56976	0.72977	0.4968	0.30968	0.12818	0.07278	0.07659	0.06294
0.86028	0.40109	0.21319	0.60611	1.64062	2.47504	1.45128	1.00702	0.80746	0.76809	0.78289	0.4499	0.21812	0.10661	0.05721	0.03586
1.14927	1.23833	0.8995	0.39841	0.9422	1.68023	2.43091	1.70124	1.20237	0.93455	0.89256	0.71523	0.40256	0.20858	0.1119	0.10018
1.00842	1.41194	1.19394	0.62881	0.54369	1.03201	1.46807	2.18939	1.602	1.03488	0.78407	0.5401	0.45956	0.28899	0.17505	0.0696
0.65433	1.05459	1.23755	0.91759	0.68414	0.81318	1.2053	1.42733	1.92998	1.2546	0.89836	0.38743	0.33885	0.21468	0.14697	0.069
0.37617	0.6466	0.77637	1.00723	0.74617	0.68553	0.80909	1.00436	1.11479	1.35624	0.92767	0.45046	0.2465	0.138	0.1206	0.10661
0.55024	0.54008	0.71965	0.82171	0.87815	1.0007	0.87054	0.83049	1.13424	1.27349	1.23382	0.77508	0.34817	0.14723	0.10626	0.09028
1.18568	1.15579	0.7283	0.88231	0.89514	1.33437	1.37048	0.98266	1.02923	0.94486	1.25664	1.23802	0.69326	0.31884	0.15799	0.1088
1.44536	1.33661	0.82483	0.79522	0.69979	1.02547	1.20465	1.2243	0.97805	0.78729	0.83402	1.00305	0.94779	0.55275	0.3366	0.13722
1.11997	1.56645	1.23046	0.65071	0.65291	0.80749	1.20011	1.19517	1.07562	0.59208	0.6786	0.74291	0.75271	0.79117	0.37471	0.17953
0.35911	0.94546	0.72321	0.62018	0.19088	0.3841	0.3506	0.62168	0.63949	0.49109	0.37956	0.28837	0.5028	0.43944	0.47119	0.20699
0.3387	0.43092	0.59483	0.47638	0.17284	0.1618	0.26015	0.37358	0.37629	0.38802	0.38443	0.22484	0.17257	0.24974	0.22049	0.16183
