A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.48073	1.05044	0.61938	0.39528	0.6551	0.96877	1.05907	0.88598	0.59752	0.4091	0.49416	0.45724	0.33236	0.25415	0.16706	0.08439
1.90905	9.38237	1.61197	0.49902	0.38122	0.95674	1.2797	1.25981	1.11692	0.62955	0.51619	0.41226	0.36457	0.23694	0.11969	0.08262
0.49833	2.57618	9.96124	1.17088	0.53606	0.57732	0.78697	1.09141	1.19771	0.7887	0.52019	0.32596	0.22074	0.19722	0.14569	0.12061
0.33048	0.68267	2.8572	7.97246	1.7747	0.92723	0.68373	0.9635	1.08484	0.99976	0.55412	0.28359	0.1816	0.13189	0.07904	0.05255
0.4947	0.36594	0.44904	2.32892	3.87746	2.15853	1.37326	1.11615	0.99544	1.10441	0.77601	0.48641	0.21612	0.1069	0.11181	0.09064
0.89091	0.42503	0.22321	0.74199	2.11843	3.0393	1.981	1.47112	1.20792	1.02795	0.97707	0.5556	0.2652	0.11525	0.05734	0.03386
0.85906	0.97535	0.70557	0.37211	1.05897	1.84299	2.33123	1.82136	1.37767	1.0725	0.88695	0.68279	0.35325	0.16525	0.0836	0.07292
0.85283	1.21122	1.02407	0.66493	0.71539	1.33431	1.68911	2.18764	1.82935	1.18927	0.87737	0.55641	0.41396	0.24661	0.14522	0.05752
0.66243	1.07351	1.20957	0.96365	0.94418	1.18146	1.57742	1.73205	2.06875	1.48703	1.03808	0.44275	0.34914	0.21061	0.13867	0.06491
0.39252	0.70012	0.81829	1.09452	0.93846	0.97627	1.11839	1.28168	1.35472	1.41551	1.03123	0.51663	0.25952	0.13954	0.12004	0.10308
0.60156	0.57934	0.76983	0.92488	1.05819	1.29145	1.14009	1.0322	1.35766	1.44514	1.21014	0.83463	0.35427	0.14541	0.1048	0.08521
0.89267	0.87875	0.5498	0.71674	0.78829	1.19751	1.27808	0.93476	1.00238	0.87479	1.0567	0.87322	0.51044	0.22023	0.10471	0.07065
0.99911	0.93872	0.57233	0.56086	0.55465	0.82455	0.94258	0.94528	0.7734	0.63151	0.62802	0.71659	0.51165	0.34024	0.20235	0.08095
0.64945	0.92867	0.7291	0.38887	0.40109	0.51412	0.73629	0.68626	0.63796	0.34515	0.39722	0.41754	0.40378	0.34021	0.19287	0.09071
0.26085	0.70277	0.53415	0.45457	0.13403	0.27626	0.25233	0.43654	0.44758	0.33888	0.26115	0.19255	0.33345	0.28416	0.26528	0.13381
0.19503	0.25609	0.35569	0.28681	0.10259	0.09419	0.14691	0.22365	0.22146	0.21545	0.21738	0.12098	0.09005	0.13278	0.11608	0.07313
