A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.12105	2.10514	1.2153	0.76139	1.15334	1.69967	1.90903	1.65514	1.12426	0.78631	0.92811	0.84612	0.61577	0.48541	0.325	0.1632
2.43665	9.70373	2.40227	0.81704	0.55785	1.31788	1.68648	1.73346	1.53065	0.83963	0.67891	0.61773	0.56958	0.38259	0.19662	0.14129
0.83418	3.37556	11.6665	1.56666	0.74478	0.77503	1.00965	1.35994	1.50563	1.0059	0.67337	0.42794	0.30031	0.2757	0.20523	0.17144
0.49115	0.93644	2.98213	8.07658	2.18316	1.15569	0.85382	1.13932	1.25256	1.15036	0.65341	0.34206	0.23654	0.18194	0.09436	0.06229
0.65063	0.4798	0.52255	2.67515	4.19195	2.34322	1.53867	1.31062	1.13252	1.21573	0.88798	0.56515	0.31747	0.15681	0.11831	0.09566
1.03602	0.50017	0.25552	0.85165	2.12898	3.06423	2.05884	1.64778	1.39743	1.16913	1.103	0.63719	0.38537	0.18779	0.05344	0.03114
0.91071	0.9883	0.67809	0.41553	1.06105	1.82275	2.2872	1.91004	1.54551	1.25792	0.99768	0.75359	0.43461	0.22379	0.06713	0.0597
0.91502	1.18137	0.8971	0.71572	0.7228	1.37506	1.66465	2.21441	2.00126	1.38623	1.09169	0.63202	0.41606	0.24473	0.10197	0.0407
0.61121	0.90549	0.85618	0.76279	0.85273	1.21675	1.57935	1.74373	2.10315	1.65737	1.28103	0.55302	0.41486	0.20947	0.08101	0.03776
0.38152	0.62816	0.62212	0.90396	0.73164	0.96822	1.19924	1.39047	1.44856	1.49107	1.12388	0.64812	0.31899	0.17704	0.06188	0.05279
0.43182	0.46793	0.57916	0.73227	0.72717	1.1272	1.19855	1.21667	1.65206	1.7182	1.44516	0.93845	0.41142	0.14319	0.05131	0.04007
0.65172	0.70512	0.43313	0.61169	0.58398	0.97426	1.18237	1.03827	1.25825	1.09285	1.19717	0.92698	0.52033	0.18762	0.04942	0.03521
0.65553	0.6262	0.37622	0.41433	0.49583	0.80993	0.9219	1.06462	1.05539	1.0284	0.93786	0.91255	0.47178	0.26951	0.0876	0.03484
0.42865	0.63719	0.48937	0.31974	0.36442	0.69016	0.77072	0.49413	0.69742	0.55198	0.68837	0.53598	0.45829	0.22317	0.09493	0.04082
0.21626	0.5922	0.42276	0.338	0.08452	0.16359	0.13961	0.23383	0.23426	0.19297	0.18388	0.1309	0.20044	0.15511	0.13288	0.07293
0.18229	0.22838	0.29892	0.22924	0.07632	0.06331	0.08992	0.135	0.12599	0.13911	0.15305	0.09348	0.05873	0.08661	0.06719	0.03883
