A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.99641	2.20432	1.32113	0.8344	1.16851	1.65358	1.83216	1.57552	1.07137	0.74322	0.89319	0.80986	0.59098	0.4622	0.30154	0.15213
2.35744	8.68583	2.3661	0.90017	0.57713	1.30067	1.61837	1.63101	1.43068	0.78446	0.65162	0.59925	0.55311	0.37119	0.18905	0.13354
0.90506	3.13151	9.93258	1.5372	0.73466	0.74712	0.95442	1.2339	1.34692	0.89492	0.61398	0.38645	0.28081	0.26448	0.19258	0.15654
0.56098	1.02406	3.20562	8.28415	1.80483	0.9808	0.69573	0.98203	1.03119	0.96032	0.56749	0.29467	0.20631	0.15525	0.09037	0.05883
0.74678	0.59667	0.61852	2.55622	3.64371	1.89421	1.13967	0.85215	0.78104	0.90693	0.6358	0.4281	0.19854	0.11546	0.11839	0.09484
1.28432	0.65256	0.35999	0.85304	1.85276	2.4404	1.64249	1.18731	0.93325	0.84186	0.81364	0.47836	0.25041	0.12805	0.05867	0.0361
1.24116	1.34882	0.94	0.44328	0.90202	1.54776	1.80166	1.51333	1.12449	0.87045	0.76486	0.60442	0.3443	0.17301	0.08487	0.07208
1.26736	1.62846	1.20799	0.71945	0.55684	1.04501	1.35435	1.71171	1.4532	0.97112	0.73444	0.49224	0.39472	0.24048	0.13243	0.05151
0.93536	1.33946	1.21969	0.88197	0.65722	0.85951	1.1992	1.31759	1.48908	1.12001	0.80441	0.35951	0.31605	0.19858	0.10957	0.05305
0.5638	0.92444	0.89408	1.00156	0.68153	0.70601	0.81845	1.0048	0.98849	0.99874	0.76292	0.41326	0.22258	0.12187	0.08569	0.07438
0.80168	0.73591	0.87348	0.88696	0.76228	0.89144	0.84302	0.77943	0.99232	1.0255	0.81014	0.60543	0.27169	0.1104	0.07379	0.05935
1.10575	1.08915	0.61227	0.7294	0.5914	0.89202	0.97058	0.73942	0.77154	0.6945	0.76858	0.59403	0.35696	0.16227	0.06573	0.04875
1.2095	1.08093	0.61731	0.59313	0.44089	0.62817	0.74419	0.78311	0.63208	0.53169	0.52243	0.51062	0.29801	0.20435	0.11403	0.04425
0.75037	1.00205	0.72768	0.39101	0.3457	0.43011	0.60225	0.54159	0.52294	0.28372	0.3458	0.30458	0.24044	0.16254	0.09673	0.04617
0.37231	0.9086	0.58943	0.4938	0.12794	0.26454	0.21884	0.37453	0.34184	0.25427	0.23909	0.14739	0.22208	0.16062	0.13642	0.07399
0.28428	0.34323	0.43139	0.35079	0.10997	0.09485	0.14218	0.21742	0.20898	0.18015	0.20561	0.10642	0.0673	0.09499	0.06872	0.04057
