A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.65913	1.77211	1.09652	0.61476	1.00182	1.38599	1.60107	1.35485	0.9379	0.66027	0.78747	0.70405	0.52198	0.42778	0.29342	0.14624
2.22636	9.57785	2.31401	0.70476	0.50804	1.18517	1.54371	1.53506	1.36698	0.74492	0.64002	0.5526	0.52886	0.36199	0.18654	0.13522
0.69231	3.19011	11.06852	1.38336	0.69414	0.72205	0.98783	1.23473	1.35596	0.90197	0.6401	0.40989	0.29368	0.27326	0.20534	0.17487
0.37473	0.83483	3.02877	8.33153	2.08684	1.08747	0.84759	1.09309	1.15732	1.02513	0.57757	0.30962	0.21689	0.1659	0.0901	0.0606
0.56933	0.4173	0.47714	2.47508	3.99868	2.26287	1.52152	1.28592	1.07237	1.1011	0.79039	0.50062	0.28798	0.14067	0.11785	0.0964
0.94065	0.51237	0.25556	0.78661	2.14384	3.07995	2.12282	1.67121	1.40725	1.14162	1.01546	0.57579	0.34217	0.16036	0.05419	0.03015
0.85319	1.11043	0.86136	0.41119	1.0618	1.86928	2.32945	1.95939	1.54718	1.25397	0.95564	0.70328	0.39176	0.19977	0.0663	0.06287
0.74688	1.15291	1.00289	0.70926	0.69369	1.34978	1.67479	2.12293	1.9369	1.33423	0.99966	0.56949	0.36328	0.2073	0.09454	0.03889
0.5602	1.00379	1.05525	0.80643	0.83224	1.19228	1.57791	1.72552	2.01842	1.61127	1.19269	0.50234	0.36615	0.17141	0.07748	0.03617
0.29866	0.63655	0.71611	0.88023	0.70538	0.91179	1.1733	1.35149	1.42475	1.41847	1.06965	0.58697	0.28617	0.14369	0.05838	0.05095
0.39511	0.54082	0.75738	0.74782	0.71375	1.02165	1.10458	1.10975	1.53525	1.59998	1.28539	0.85488	0.36383	0.11984	0.04859	0.03781
0.48282	0.69222	0.5109	0.57593	0.53881	0.82184	1.0327	0.9113	1.11641	0.96925	1.08911	0.78033	0.48045	0.15743	0.04673	0.03519
0.55095	0.79137	0.56808	0.43463	0.4655	0.69428	0.8028	0.89022	0.91489	0.89772	0.8089	0.8181	0.40827	0.25485	0.09042	0.0339
0.29347	0.6355	0.5939	0.27687	0.28743	0.51273	0.56446	0.32303	0.49222	0.39755	0.5023	0.39267	0.3727	0.16557	0.09973	0.03852
0.18253	0.7048	0.63299	0.37622	0.08024	0.11674	0.10254	0.16514	0.1748	0.12528	0.13689	0.11233	0.20535	0.18468	0.12802	0.07938
0.19155	0.32756	0.5661	0.33662	0.09355	0.05649	0.09741	0.11885	0.11061	0.11398	0.12852	0.09386	0.05867	0.10348	0.0778	0.03813
