A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.92093	1.82275	1.06259	0.68222	1.02324	1.4948	1.68188	1.43027	0.96227	0.67082	0.79094	0.72124	0.5216	0.40577	0.26619	0.1346
2.15117	8.63279	2.15286	0.76446	0.51224	1.20818	1.55999	1.57154	1.38452	0.75182	0.60856	0.55422	0.51256	0.34297	0.17538	0.1248
0.72053	3.45173	13.27544	1.50832	0.69081	0.7595	0.98282	1.33894	1.47686	0.98986	0.66822	0.41888	0.28073	0.24935	0.18149	0.1504
0.42995	0.82084	3.51516	9.75114	1.72352	0.92749	0.68183	0.98148	1.05457	1.00704	0.56965	0.30223	0.19397	0.14294	0.08293	0.05475
0.661	0.50365	0.55883	2.90778	4.34974	2.15972	1.36149	1.08206	0.96514	1.11005	0.77694	0.50612	0.22704	0.13084	0.12428	0.10017
1.15576	0.57067	0.30683	0.80128	2.1357	3.08981	2.07445	1.54942	1.26185	1.09784	1.04854	0.60749	0.30245	0.15699	0.06422	0.03874
1.05932	1.19313	0.84786	0.39616	1.01298	1.87505	2.39985	1.93232	1.48775	1.1792	0.97531	0.74732	0.39181	0.20464	0.08655	0.07549
0.98439	1.31769	1.03951	0.59109	0.61674	1.28065	1.66579	2.16515	1.86258	1.25476	0.95205	0.58518	0.39948	0.24824	0.1281	0.05053
0.6909	1.05308	1.05333	0.83226	0.73486	1.08738	1.50741	1.64846	1.97034	1.48071	1.09288	0.46869	0.3369	0.20018	0.10528	0.04994
0.46995	0.7324	0.74787	0.95989	0.70427	0.87966	1.11119	1.27691	1.31261	1.35034	1.00435	0.54457	0.24452	0.14079	0.08275	0.07151
0.55643	0.6531	0.81969	0.85833	0.72943	1.04758	1.1003	1.05525	1.39307	1.46466	1.19662	0.79295	0.30607	0.11906	0.06595	0.05335
0.87016	0.93171	0.59877	0.69789	0.57496	0.99595	1.14609	0.93154	1.05949	0.91766	1.01981	0.81377	0.41623	0.17079	0.0654	0.04626
0.86105	0.78791	0.46487	0.49745	0.40914	0.64407	0.77326	0.83741	0.72134	0.64983	0.6114	0.61675	0.36104	0.235	0.11404	0.0451
0.5073	0.72201	0.54213	0.28586	0.30258	0.48255	0.62993	0.48494	0.5451	0.3583	0.42727	0.37126	0.29248	0.20921	0.11132	0.04736
0.2441	0.62772	0.44107	0.37032	0.09906	0.20087	0.17201	0.29493	0.28768	0.21904	0.18937	0.1312	0.21277	0.17018	0.15361	0.08019
0.21217	0.2674	0.35283	0.28256	0.09288	0.08184	0.12341	0.18452	0.17929	0.17027	0.18185	0.09978	0.06917	0.10123	0.0821	0.05051
