A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.07466	2.49835	1.32228	0.7083	1.10204	1.69406	1.89399	1.70892	1.19398	0.87148	1.03183	0.92679	0.67974	0.55685	0.37774	0.1868
2.39451	7.44523	2.46578	0.73447	0.52116	1.25347	1.48732	1.59269	1.40498	0.79861	0.66209	0.63867	0.59795	0.41263	0.20819	0.1531
1.01278	3.45979	10.11852	1.36063	0.69935	0.75671	0.92421	1.1947	1.3194	0.94141	0.65474	0.41944	0.30333	0.28485	0.2038	0.17338
0.63769	1.14626	3.19062	8.31722	2.11553	1.20023	0.88808	1.11112	1.1478	1.09927	0.65746	0.36445	0.24503	0.17772	0.08845	0.0579
0.92873	0.65903	0.57303	2.57659	3.60183	2.12389	1.40409	1.12566	0.93926	1.01718	0.72749	0.49545	0.26586	0.12794	0.10892	0.08753
1.45815	0.75759	0.32817	0.87323	1.83038	2.49317	1.81961	1.44268	1.19202	1.02982	0.91692	0.5349	0.31279	0.14041	0.04711	0.02708
1.21263	1.34388	0.75193	0.41146	0.92999	1.59861	1.91477	1.64473	1.39131	1.15835	0.86899	0.65268	0.35954	0.16872	0.05563	0.04972
1.40848	1.77547	1.04904	0.67552	0.59893	1.20725	1.42463	1.69767	1.6308	1.21097	0.92398	0.54133	0.33654	0.18928	0.07894	0.03165
0.92341	1.3769	0.96942	0.63887	0.6666	1.05562	1.46443	1.45355	1.69007	1.44935	1.0924	0.48431	0.35554	0.1616	0.06642	0.03091
0.68554	1.22055	1.01223	0.92408	0.61369	0.8964	1.15679	1.3121	1.29368	1.32718	1.0008	0.61915	0.30663	0.1453	0.05745	0.05045
0.68964	0.78405	0.81417	0.72759	0.58044	0.9553	1.07953	1.05431	1.41966	1.5048	1.18128	0.85261	0.38369	0.12619	0.05691	0.03861
1.16787	1.42028	0.75375	0.77259	0.58538	0.91875	1.12702	0.97896	1.15327	1.11976	1.16984	0.8222	0.47441	0.20471	0.06195	0.04139
0.85331	1.0042	0.56997	0.43274	0.41449	0.67962	0.79362	0.89772	0.91515	0.95007	0.9016	0.78466	0.37336	0.19793	0.08631	0.03609
0.82124	1.42026	0.99179	0.41328	0.3377	0.56396	0.68414	0.54913	0.59848	0.48167	0.67579	0.52454	0.32657	0.13694	0.07854	0.04466
0.21759	0.69493	0.42543	0.24772	0.06796	0.14246	0.11861	0.17007	0.17467	0.17016	0.23793	0.16102	0.17717	0.11867	0.10105	0.05122
0.47449	0.70843	0.79264	0.42417	0.12807	0.11893	0.1587	0.21046	0.20575	0.29756	0.35236	0.19757	0.11725	0.16394	0.06929	0.03022
