A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.34604	1.57564	0.92017	0.58927	0.90008	1.32614	1.48604	1.27719	0.8679	0.59837	0.70754	0.6473	0.47113	0.36954	0.24568	0.12299
1.92316	7.64245	1.92348	0.66328	0.44743	1.07465	1.39708	1.41881	1.25242	0.67801	0.54163	0.49563	0.45997	0.3097	0.15848	0.11358
0.7007	2.90315	10.20962	1.36851	0.64237	0.67231	0.89546	1.20991	1.33458	0.8814	0.58486	0.36935	0.25992	0.23852	0.17683	0.14733
0.44007	0.82532	3.24499	8.95784	1.82825	0.96634	0.70622	1.00342	1.09297	1.02163	0.56946	0.3011	0.19829	0.14691	0.08615	0.05687
0.64643	0.46039	0.50937	3.02959	4.34324	1.96962	1.19967	0.92452	0.84229	0.98606	0.67225	0.45373	0.2012	0.11768	0.11924	0.09598
1.01486	0.47552	0.24861	0.71073	1.74919	2.33253	1.53068	1.07985	0.86177	0.77781	0.73801	0.43859	0.22219	0.11268	0.05613	0.03264
0.95495	1.02095	0.7168	0.35037	0.80263	1.37627	1.69783	1.34983	1.00291	0.78109	0.67921	0.54196	0.29877	0.15577	0.07684	0.06747
0.96993	1.26063	0.99638	0.59317	0.50709	0.93202	1.24203	1.58689	1.33671	0.87649	0.64094	0.4424	0.35872	0.22077	0.1282	0.05082
0.70572	1.05022	1.06298	0.79639	0.63796	0.77354	1.09534	1.23273	1.45934	1.06321	0.7437	0.33514	0.29	0.17642	0.11181	0.05173
0.40634	0.68561	0.72262	0.89261	0.62269	0.62478	0.74024	0.88824	0.94149	0.98107	0.7353	0.38897	0.21098	0.11632	0.08982	0.07655
0.54917	0.54033	0.68791	0.76055	0.70079	0.80804	0.72911	0.68183	0.9184	0.99205	0.80299	0.59439	0.27363	0.11236	0.07678	0.06093
0.81232	0.81773	0.49973	0.62759	0.54583	0.80532	0.84955	0.64615	0.71263	0.65662	0.75507	0.62821	0.3851	0.17249	0.07525	0.05228
0.8678	0.80057	0.48699	0.47696	0.38948	0.55495	0.63927	0.68819	0.58338	0.50562	0.50398	0.5429	0.35803	0.24617	0.13815	0.05366
0.53653	0.76493	0.57592	0.31643	0.29545	0.37609	0.52851	0.4624	0.46401	0.27457	0.33109	0.33192	0.29207	0.21946	0.13078	0.05727
0.21712	0.5474	0.39319	0.33406	0.09072	0.18408	0.16218	0.27374	0.27413	0.2135	0.19387	0.13902	0.22809	0.18434	0.16394	0.09215
0.13813	0.18342	0.23736	0.19292	0.0659	0.05651	0.0829	0.12739	0.12479	0.12969	0.14576	0.08355	0.05587	0.08073	0.07393	0.04039
