A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.57402	1.35794	0.76576	0.49469	0.78509	1.17876	1.35727	1.1484	0.75046	0.52446	0.60133	0.54561	0.3887	0.29986	0.19767	0.10032
1.83908	8.29051	1.72993	0.56362	0.40284	0.999	1.3383	1.34505	1.18473	0.64453	0.51323	0.43761	0.39651	0.26256	0.13517	0.09539
0.54424	2.8566	11.32198	1.28551	0.57505	0.62864	0.85228	1.195	1.32665	0.871	0.57025	0.3542	0.23585	0.20852	0.15503	0.12902
0.34947	0.69556	3.57373	10.43223	1.92093	1.03277	0.80385	1.11806	1.23907	1.16952	0.65078	0.34648	0.20842	0.14328	0.07812	0.05223
0.56779	0.41706	0.49712	2.98465	4.73218	2.38814	1.54052	1.31116	1.15888	1.29845	0.91255	0.57797	0.29078	0.13507	0.122	0.09865
1.0046	0.48416	0.25623	0.87388	2.3498	3.41996	2.20125	1.69254	1.40792	1.20546	1.14539	0.66816	0.37036	0.15704	0.06383	0.03819
0.97246	1.09372	0.80348	0.44529	1.17866	2.03283	2.64931	2.09317	1.61102	1.28145	1.04589	0.81794	0.46389	0.21239	0.09215	0.08053
0.90179	1.25657	1.06576	0.7659	0.78571	1.466	1.8441	2.51815	2.1193	1.4151	1.06084	0.66074	0.47797	0.27175	0.14536	0.05769
0.57968	0.9225	1.03146	0.90691	0.93842	1.24129	1.63333	1.83157	2.2603	1.66673	1.20459	0.52731	0.40761	0.20681	0.11507	0.05436
0.33349	0.5524	0.62815	0.96342	0.82606	0.97493	1.17776	1.36533	1.4404	1.52229	1.07893	0.59616	0.29336	0.1403	0.08625	0.0748
0.47093	0.48708	0.64388	0.82672	0.89831	1.2214	1.18961	1.15976	1.55096	1.631	1.37011	0.90322	0.39209	0.13346	0.07759	0.06387
0.76157	0.76318	0.48998	0.6924	0.72938	1.16068	1.31179	1.0604	1.2149	1.04559	1.18229	1.00051	0.55938	0.2026	0.08284	0.05689
0.87683	0.80534	0.49139	0.53025	0.59149	0.92003	1.05798	1.14197	1.02699	0.9219	0.84504	0.90716	0.58562	0.32675	0.16709	0.06729
0.60599	0.84994	0.66478	0.38061	0.41845	0.62196	0.80941	0.67531	0.71451	0.44717	0.523	0.4882	0.45441	0.34458	0.17739	0.08161
0.30322	0.79663	0.5987	0.50878	0.14851	0.30185	0.2754	0.47779	0.48478	0.36954	0.29126	0.21296	0.36393	0.31044	0.3011	0.14892
0.249	0.31923	0.43777	0.34982	0.12399	0.11374	0.17819	0.26714	0.26269	0.26179	0.26369	0.14946	0.11063	0.16191	0.14142	0.09323
