A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.52389	0.80764	0.39487	0.25889	0.41741	0.77267	0.94505	0.77767	0.43477	0.32323	0.35528	0.30409	0.20867	0.1468	0.0959	0.05542
1.38071	7.58775	1.07738	0.29642	0.24403	0.66085	1.01493	0.99781	0.81247	0.45552	0.36398	0.27703	0.22947	0.14569	0.07395	0.05588
0.28681	2.42974	11.76831	0.92912	0.36647	0.47952	0.6753	1.01835	1.08369	0.7104	0.45259	0.27596	0.1628	0.12683	0.09467	0.08281
0.21538	0.4292	3.7815	11.73936	1.24143	0.6923	0.57824	0.89631	1.02872	1.02333	0.53456	0.28699	0.14502	0.09246	0.04951	0.0389
0.35265	0.24921	0.29934	2.70425	4.26212	1.65794	1.04641	0.91525	0.84293	1.03325	0.70033	0.39423	0.15178	0.07773	0.08035	0.06973
0.63448	0.28634	0.15798	0.48682	1.63101	3.1339	1.83852	1.43563	1.21588	1.04477	1.00644	0.54018	0.24174	0.09006	0.04694	0.03518
0.71137	0.78709	0.58619	0.27438	0.85228	1.80188	2.79566	1.94707	1.50652	1.19147	0.95026	0.71775	0.35244	0.14573	0.07478	0.06967
0.6906	0.98238	0.85129	0.46618	0.58143	1.36836	1.7852	2.77258	2.06249	1.36382	1.00438	0.59244	0.39644	0.22612	0.13523	0.05414
0.50505	0.83307	1.04967	0.84304	0.81956	1.26756	1.74396	1.96831	2.73066	1.7654	1.23882	0.51162	0.36212	0.19824	0.13937	0.06634
0.321	0.55585	0.69923	1.01342	0.905	1.09252	1.30498	1.51953	1.63569	2.05803	1.23663	0.60729	0.28245	0.14315	0.12829	0.1234
0.50622	0.49979	0.66756	0.81791	1.05163	1.47277	1.33702	1.26331	1.68702	1.81918	1.82688	0.9804	0.3996	0.15833	0.11572	0.11301
0.83506	0.82727	0.52516	0.66214	0.77427	1.38473	1.56702	1.16971	1.28181	1.09353	1.32929	1.46963	0.64239	0.26756	0.13666	0.1033
1.11719	1.01821	0.62985	0.62693	0.62821	1.04117	1.25395	1.27622	1.05661	0.86346	0.84593	1.0142	1.07037	0.52118	0.31859	0.13362
1.01621	1.44395	1.12616	0.61475	0.6381	0.86114	1.25197	1.29673	1.14533	0.6498	0.72253	0.80509	0.85268	1.07773	0.41679	0.20939
0.54738	1.47035	1.17076	1.00593	0.34801	0.70405	0.61909	1.15674	1.21652	0.93192	0.6805	0.53918	0.94359	0.84328	1.073	0.3885
0.40101	0.51117	0.7054	0.57418	0.22702	0.22744	0.35568	0.47898	0.48411	0.53652	0.52516	0.3195	0.2474	0.35098	0.31478	0.27948
