A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.52639	1.95285	1.1452	0.71442	1.08364	1.5741	1.74571	1.52472	1.03873	0.71412	0.85583	0.78179	0.57423	0.4521	0.30176	0.15224
1.8337	5.83609	2.11157	0.76946	0.48598	1.13548	1.44204	1.49601	1.30116	0.68597	0.54172	0.54958	0.52191	0.35506	0.18353	0.13436
0.80117	2.55027	7.00564	1.39571	0.68693	0.65037	0.86969	1.14727	1.27977	0.8326	0.54334	0.34776	0.26674	0.26114	0.1969	0.16256
0.46757	0.8996	2.66434	7.05289	2.0563	1.05125	0.77116	1.04163	1.1479	1.05166	0.596	0.30608	0.21626	0.1621	0.09005	0.05978
0.6706	0.50631	0.54337	2.74445	4.36128	2.33067	1.55012	1.31904	1.13524	1.22735	0.89191	0.56864	0.30751	0.1424	0.12106	0.09798
1.09995	0.54123	0.27805	0.84739	2.15503	2.88095	1.95936	1.53129	1.26366	1.07659	1.02392	0.5942	0.34081	0.15196	0.05651	0.03335
0.96289	1.04754	0.71346	0.41046	1.08736	1.71956	2.20853	1.83979	1.45207	1.16624	0.94618	0.72286	0.40809	0.1911	0.07177	0.06376
0.91832	1.20851	0.90446	0.68175	0.72561	1.23923	1.56665	2.09058	1.84802	1.26798	0.99703	0.58846	0.39559	0.21909	0.1045	0.04172
0.64334	0.96122	0.90653	0.7441	0.86345	1.08318	1.4826	1.64001	1.94327	1.50768	1.15421	0.50251	0.38044	0.18362	0.08735	0.04101
0.39087	0.67871	0.67324	0.88178	0.76629	0.8715	1.10291	1.29866	1.32845	1.36523	1.02846	0.58629	0.29107	0.14249	0.07044	0.06024
0.52067	0.51444	0.61683	0.73413	0.79881	1.05742	1.12182	1.12841	1.49688	1.54488	1.30387	0.86701	0.38025	0.12586	0.0617	0.04908
0.77751	0.81754	0.46783	0.62021	0.63859	0.94274	1.14998	0.98465	1.14506	0.99911	1.10491	0.85913	0.48663	0.17476	0.0589	0.04222
0.77235	0.75328	0.44245	0.43818	0.51078	0.73933	0.8684	0.99233	0.94608	0.88968	0.82648	0.81237	0.42985	0.23416	0.10255	0.04104
0.49473	0.73502	0.55546	0.31635	0.33581	0.51079	0.62209	0.47047	0.56496	0.40521	0.50637	0.41013	0.34252	0.18099	0.09247	0.0441
0.25547	0.69552	0.48848	0.39245	0.10062	0.19722	0.16625	0.28857	0.2843	0.23303	0.21717	0.15255	0.22991	0.1772	0.1558	0.08422
0.23607	0.30491	0.38745	0.29857	0.09569	0.08127	0.11622	0.17976	0.1654	0.1749	0.19938	0.11541	0.07327	0.10686	0.08045	0.04709
