A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.46827	1.82432	1.08863	0.68388	1.08981	1.59752	1.77672	1.52345	1.01547	0.68918	0.83252	0.76081	0.55532	0.43016	0.28573	0.14521
2.0457	8.03548	2.13523	0.7422	0.49443	1.20331	1.60004	1.6227	1.41074	0.74783	0.5924	0.55179	0.51103	0.34267	0.17767	0.12754
0.62647	3.22025	12.76222	1.39875	0.6287	0.69759	0.92604	1.29776	1.43072	0.94686	0.62911	0.39181	0.25848	0.22653	0.16743	0.13978
0.35875	0.69433	3.68845	10.6423	1.59673	0.86599	0.66111	0.97435	1.05933	1.02544	0.57386	0.30765	0.18162	0.12428	0.07246	0.04835
0.56818	0.41789	0.47957	2.61981	3.87412	1.75605	1.03676	0.78993	0.7563	0.93923	0.64089	0.4161	0.18039	0.10196	0.11214	0.09092
1.04428	0.50149	0.26371	0.72097	1.77821	2.40975	1.50355	1.0509	0.84149	0.79421	0.78535	0.45278	0.22639	0.10716	0.06032	0.03629
1.05644	1.17256	0.83356	0.37965	0.83383	1.43648	1.8112	1.41113	1.03089	0.8038	0.74166	0.58494	0.33321	0.16357	0.09098	0.07974
0.9101	1.23978	1.00268	0.57113	0.4605	0.85295	1.15298	1.56615	1.2943	0.85458	0.6384	0.42517	0.35307	0.20997	0.12823	0.05078
0.58327	0.90829	0.95403	0.74656	0.55121	0.67305	0.95003	1.11569	1.41124	1.02281	0.73261	0.30843	0.26143	0.1465	0.09993	0.04742
0.38631	0.63109	0.67578	0.87599	0.59507	0.57784	0.67031	0.83787	0.92248	1.00428	0.7412	0.36861	0.19425	0.09293	0.08255	0.07191
0.55434	0.58159	0.73919	0.80537	0.70993	0.81086	0.71913	0.69473	0.96299	1.06336	0.90552	0.60888	0.27054	0.10101	0.07594	0.06189
0.89714	0.91345	0.56589	0.67697	0.5723	0.85133	0.86664	0.66006	0.72824	0.66804	0.80961	0.66776	0.3993	0.16761	0.08086	0.05611
0.8998	0.83129	0.4961	0.49553	0.3949	0.56289	0.6549	0.69849	0.58007	0.49803	0.49932	0.53189	0.38712	0.23832	0.1419	0.05649
0.45152	0.63305	0.48184	0.24872	0.23079	0.26867	0.39397	0.38699	0.34051	0.18243	0.21486	0.22498	0.21191	0.18347	0.10368	0.04846
0.17592	0.45836	0.32909	0.27408	0.07601	0.15527	0.1363	0.23847	0.23385	0.17678	0.14759	0.10506	0.17453	0.14321	0.13558	0.06847
0.11435	0.14475	0.19488	0.15307	0.05197	0.0465	0.07098	0.1086	0.10479	0.10094	0.1049	0.05786	0.04103	0.06015	0.05023	0.03212
