A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.88621	1.5103	0.84314	0.54358	0.8614	1.31076	1.50112	1.26736	0.82594	0.58298	0.67687	0.61725	0.43652	0.33492	0.22077	0.11208
2.07117	9.12843	1.96368	0.64742	0.45769	1.13138	1.51415	1.52621	1.33623	0.72514	0.58148	0.50696	0.46023	0.30477	0.1574	0.11136
0.51084	2.9932	12.52893	1.22998	0.5432	0.6271	0.82789	1.1752	1.29412	0.86344	0.57562	0.35752	0.22802	0.19358	0.14259	0.11948
0.31774	0.62412	3.42772	9.98207	1.60378	0.87682	0.67932	0.97059	1.06338	1.02013	0.56972	0.3012	0.17311	0.11803	0.06844	0.04565
0.46067	0.33295	0.39975	2.14664	3.51707	1.89684	1.21525	1.03568	0.92301	1.03766	0.72949	0.43965	0.18922	0.09295	0.09815	0.07959
1.0453	0.49326	0.25845	0.80548	2.24125	3.25698	2.09092	1.5997	1.32839	1.15287	1.09056	0.60285	0.28035	0.12414	0.06447	0.03872
1.04551	1.17683	0.84289	0.42176	1.11399	1.98378	2.5504	2.03627	1.55837	1.23535	1.01108	0.75414	0.38806	0.18311	0.09621	0.08412
0.93663	1.29864	1.08006	0.67687	0.7066	1.38077	1.75804	2.40062	2.03871	1.35905	0.99246	0.5879	0.41601	0.24405	0.1453	0.05769
0.65489	1.04568	1.15047	0.95771	0.89258	1.20312	1.60732	1.83984	2.27477	1.67219	1.17396	0.47034	0.33837	0.19	0.1263	0.06001
0.42378	0.67747	0.75415	1.07678	0.85856	0.97966	1.16977	1.38764	1.48093	1.57361	1.10898	0.54456	0.24296	0.12083	0.10053	0.08766
0.5797	0.6437	0.83675	0.97255	0.94499	1.23759	1.16549	1.14012	1.53193	1.64226	1.34989	0.84221	0.32853	0.12419	0.08891	0.0728
0.95377	0.96088	0.61978	0.77658	0.73515	1.17138	1.24426	0.97997	1.09561	0.95901	1.10916	0.89749	0.48276	0.19981	0.09578	0.06544
0.99764	0.90255	0.5414	0.55838	0.50664	0.75889	0.87066	0.91804	0.75813	0.64702	0.6221	0.67222	0.48699	0.30707	0.18048	0.07189
0.5702	0.78937	0.60458	0.31944	0.32543	0.4199	0.59323	0.55603	0.50946	0.28593	0.32901	0.33688	0.31979	0.27889	0.15445	0.07096
0.20929	0.54198	0.39896	0.33556	0.09709	0.20186	0.18157	0.31805	0.31452	0.23477	0.18792	0.13632	0.23562	0.1975	0.19123	0.09497
0.13129	0.16656	0.22955	0.17994	0.06456	0.05938	0.09188	0.14303	0.13732	0.13244	0.13336	0.07271	0.0535	0.0789	0.06912	0.04463
