A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
3.04916	1.57658	0.88392	0.56877	0.905	1.3851	1.59116	1.34361	0.87339	0.61691	0.71589	0.65382	0.46037	0.35176	0.2329	0.11844
2.0716	8.90292	2.02165	0.67553	0.46867	1.16199	1.571	1.58757	1.38392	0.74268	0.59085	0.52737	0.48056	0.3184	0.1661	0.11791
0.66446	3.33726	13.02153	1.51519	0.68811	0.74103	1.00786	1.4253	1.57279	1.03055	0.6738	0.42008	0.28206	0.24966	0.1886	0.15666
0.41541	0.82185	4.29571	12.33644	1.99414	1.05725	0.7877	1.17855	1.30614	1.25902	0.69774	0.36605	0.2224	0.15755	0.09226	0.06152
0.55076	0.3918	0.47632	2.49288	4.12413	2.14826	1.31112	1.08392	0.98794	1.16295	0.83174	0.52584	0.26	0.12828	0.1176	0.09552
0.81393	0.37982	0.19806	0.59603	1.84233	2.695	1.68842	1.31985	1.10585	0.96048	0.94297	0.54998	0.30652	0.1345	0.05022	0.03024
0.69748	0.80862	0.57516	0.27879	0.83129	1.47559	1.84589	1.50107	1.16934	0.94132	0.7815	0.6072	0.34543	0.1604	0.06422	0.05607
0.7509	1.05085	0.87884	0.50866	0.60101	1.16489	1.42849	1.96687	1.67484	1.12507	0.8663	0.54031	0.38965	0.22523	0.11702	0.04653
0.51453	0.83219	0.92445	0.76879	0.75671	1.01898	1.29664	1.50682	1.87335	1.38985	1.03374	0.45155	0.35371	0.18599	0.10158	0.04868
0.38208	0.59384	0.66348	0.93845	0.77854	0.87234	0.99258	1.18965	1.27694	1.37729	1.01727	0.54698	0.27731	0.14533	0.08881	0.0778
0.5517	0.57881	0.75514	0.86224	0.92935	1.20332	1.07262	1.05634	1.41902	1.54548	1.35068	0.90114	0.39804	0.14765	0.08596	0.0704
0.82227	0.81478	0.52629	0.65269	0.68824	1.11527	1.17179	0.95099	1.08309	0.94837	1.12799	0.95953	0.54257	0.20389	0.08283	0.05635
0.83302	0.73917	0.44171	0.4834	0.51656	0.81849	0.91223	1.01258	0.89077	0.81209	0.7672	0.82983	0.54012	0.30834	0.15116	0.06069
0.56655	0.77756	0.58659	0.32027	0.38365	0.59092	0.74146	0.62138	0.65091	0.42067	0.50015	0.4615	0.43054	0.30839	0.16025	0.07113
0.28738	0.7314	0.53449	0.45322	0.13186	0.27716	0.24895	0.44111	0.43168	0.31824	0.25	0.18141	0.32081	0.26987	0.26386	0.13041
0.24799	0.31187	0.43079	0.33821	0.11916	0.10943	0.17119	0.26985	0.26317	0.24974	0.24436	0.13279	0.09854	0.14678	0.13031	0.08447
