A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.30775	1.10965	0.59025	0.37836	0.59584	0.93444	1.15806	1.04643	0.6885	0.42854	0.482	0.43371	0.31201	0.23932	0.1562	0.08242
1.67635	8.08562	1.50897	0.46527	0.35257	0.86335	1.20445	1.26961	1.17972	0.61027	0.46486	0.37951	0.33754	0.22392	0.11403	0.08367
0.44047	2.81621	12.16947	1.16545	0.50562	0.58316	0.77207	1.14579	1.35263	0.86882	0.56526	0.33615	0.20911	0.17734	0.13242	0.11378
0.29731	0.60047	3.76842	11.37074	1.67527	0.90503	0.70721	1.01659	1.15647	1.17404	0.65216	0.32291	0.17548	0.11928	0.06812	0.04821
0.43157	0.33689	0.40278	2.63917	4.31907	1.94597	1.21362	1.00976	0.91038	1.11784	0.75959	0.45407	0.18745	0.09852	0.10382	0.08562
0.74028	0.35898	0.19483	0.65972	1.88375	2.93145	1.73789	1.29659	1.0627	0.92239	0.88573	0.5072	0.24449	0.10634	0.05402	0.03562
0.82244	0.89114	0.63897	0.34387	0.93676	1.65145	2.31737	1.67077	1.23875	0.94739	0.76908	0.5931	0.34311	0.16229	0.08402	0.07529
0.881	1.20706	0.98096	0.61313	0.65192	1.23543	1.58509	2.33263	1.7562	1.11137	0.76259	0.48459	0.40968	0.25227	0.15021	0.06099
0.61793	1.00569	1.14189	0.89781	0.84706	1.07262	1.42819	1.63303	2.1371	1.37826	0.89545	0.36361	0.32433	0.20385	0.13994	0.06775
0.36547	0.63317	0.74105	1.05163	0.86313	0.87687	0.99176	1.17237	1.24906	1.44254	0.91326	0.42052	0.23929	0.13476	0.11951	0.10769
0.5223	0.53702	0.71636	0.86427	0.93701	1.11348	0.94576	0.87486	1.14686	1.23838	1.09502	0.66926	0.31665	0.13909	0.1026	0.08889
0.81614	0.80296	0.50999	0.65547	0.69162	1.06661	1.08631	0.78259	0.81672	0.71858	0.87117	0.84261	0.47786	0.22058	0.10912	0.07785
0.92887	0.84173	0.50596	0.51511	0.50817	0.76957	0.89602	0.89963	0.71112	0.57114	0.55184	0.65133	0.63123	0.35778	0.21617	0.08855
0.63399	0.88212	0.6735	0.36301	0.3856	0.51254	0.75988	0.72317	0.65065	0.35441	0.39486	0.43365	0.43453	0.46868	0.21384	0.10265
0.30949	0.80998	0.61545	0.53083	0.17014	0.34535	0.32246	0.56221	0.57673	0.4369	0.33843	0.25647	0.45225	0.39017	0.42645	0.1897
0.26837	0.34286	0.46885	0.3771	0.14118	0.13562	0.21684	0.31528	0.31523	0.31973	0.31602	0.18662	0.1414	0.20348	0.18147	0.13311
