A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.92252	0.8796	0.40568	0.27664	0.40996	0.711	0.91109	0.75011	0.44979	0.34293	0.34763	0.30581	0.19922	0.15027	0.09688	0.05041
1.54639	8.20772	1.1992	0.34367	0.28115	0.71213	0.99868	1.00438	0.88244	0.49638	0.40325	0.29667	0.25349	0.16352	0.08256	0.0576
0.30146	2.32714	10.75479	0.87113	0.35971	0.45549	0.59929	0.8854	0.98402	0.65301	0.43177	0.26416	0.1568	0.12464	0.08999	0.0771
0.18923	0.36347	3.36177	10.32508	0.98835	0.57354	0.48605	0.7212	0.76327	0.77835	0.42958	0.24413	0.11803	0.07264	0.03808	0.02628
0.28594	0.21054	0.24941	1.74041	2.87235	1.39325	0.92734	0.83277	0.72823	0.81018	0.57268	0.32362	0.10904	0.05906	0.06353	0.05197
0.65891	0.31455	0.16702	0.48811	1.64872	2.77003	1.74209	1.38816	1.18866	0.98892	0.94625	0.4899	0.17715	0.07958	0.04468	0.02818
0.90805	1.01059	0.73257	0.32935	1.0049	1.92662	2.669	2.01118	1.54978	1.22009	1.00702	0.72306	0.32418	0.16098	0.08915	0.07931
0.953	1.34278	1.13086	0.60492	0.708	1.48518	1.91349	2.75306	2.19268	1.43953	1.07807	0.62327	0.42599	0.26664	0.16488	0.0655
0.68434	1.10758	1.28406	0.965	0.93016	1.31307	1.77378	2.01663	2.61838	1.80034	1.28556	0.4961	0.32787	0.21271	0.15129	0.07136
0.42017	0.72587	0.8531	1.10787	0.96309	1.09029	1.28431	1.51879	1.63405	1.84905	1.25657	0.58255	0.24383	0.13924	0.13175	0.11611
0.62949	0.63665	0.84022	0.94531	1.10327	1.45888	1.32749	1.27209	1.70739	1.82563	1.65026	0.95594	0.34743	0.15424	0.11796	0.10023
1.23362	1.22061	0.76615	0.91693	0.98847	1.55291	1.63124	1.20433	1.28826	1.1415	1.42808	1.29542	0.65854	0.31276	0.15839	0.10979
1.55645	1.453	0.89055	0.84614	0.7451	1.07752	1.24932	1.23191	0.95495	0.73749	0.78999	0.96568	0.93785	0.56911	0.35348	0.14286
1.19937	1.69991	1.33101	0.69716	0.6889	0.83246	1.2451	1.2443	1.09466	0.58619	0.66598	0.75092	0.76722	0.81323	0.39174	0.1876
0.56711	1.51367	1.15299	0.9872	0.3015	0.61014	0.55624	0.96837	1.00334	0.77641	0.59933	0.44962	0.78453	0.68254	0.72678	0.32243
0.49124	0.63645	0.87123	0.69489	0.25152	0.23604	0.37435	0.53758	0.54255	0.55727	0.55909	0.32379	0.24453	0.35559	0.31339	0.22627
