A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.2712	1.33133	0.77513	0.49047	0.81381	1.25333	1.42883	1.20329	0.77998	0.53149	0.62656	0.57351	0.41224	0.31518	0.20861	0.1061
1.71991	7.54552	1.68962	0.55801	0.38974	0.9893	1.37854	1.3835	1.19589	0.63327	0.49551	0.43938	0.40175	0.26739	0.14003	0.09934
0.487	2.96988	12.65208	1.25043	0.54687	0.62606	0.84971	1.23672	1.36583	0.89406	0.58279	0.35869	0.22839	0.19431	0.14541	0.1211
0.28786	0.57166	3.78834	11.28878	1.58483	0.87895	0.70051	1.01411	1.12566	1.08361	0.59829	0.32028	0.17292	0.11382	0.06448	0.04362
0.46811	0.33676	0.42241	2.37907	3.91833	2.03126	1.28525	1.08471	0.98914	1.14641	0.79153	0.47814	0.20303	0.10087	0.10683	0.08695
1.01065	0.46911	0.24765	0.80568	2.28859	3.40328	2.15071	1.62748	1.35016	1.18466	1.13223	0.62759	0.29452	0.12885	0.06721	0.04034
1.00369	1.11604	0.80855	0.40903	1.11948	2.00933	2.66303	2.07947	1.57542	1.25099	1.0303	0.77756	0.40322	0.19026	0.1007	0.08746
0.87183	1.22077	1.04884	0.65777	0.71263	1.39719	1.79519	2.50993	2.08273	1.38202	1.00655	0.60414	0.43419	0.2556	0.15367	0.06096
0.56119	0.90371	1.05743	0.88845	0.87558	1.18812	1.58586	1.82551	2.30109	1.66748	1.16135	0.4695	0.33378	0.18784	0.12597	0.05969
0.34786	0.57004	0.66904	0.98807	0.84883	0.97188	1.16232	1.37559	1.48242	1.61342	1.10507	0.54528	0.24413	0.12108	0.10216	0.08946
0.4739	0.50833	0.67576	0.82987	0.90061	1.20907	1.13782	1.11398	1.50215	1.61499	1.3514	0.82559	0.32149	0.12075	0.08625	0.07102
0.82764	0.81094	0.52365	0.68516	0.72939	1.17155	1.26573	0.98745	1.10478	0.96379	1.12153	0.9466	0.5001	0.20467	0.1003	0.06788
0.86143	0.77116	0.46682	0.48398	0.48891	0.76268	0.88251	0.92322	0.76666	0.65348	0.61879	0.68838	0.51703	0.31223	0.18486	0.07457
0.48783	0.6687	0.51445	0.27723	0.30115	0.40726	0.58841	0.54994	0.51577	0.28513	0.31967	0.33096	0.32402	0.29841	0.15693	0.07261
0.15771	0.40724	0.30881	0.26105	0.08045	0.17036	0.15984	0.28095	0.28335	0.20888	0.15694	0.1174	0.20335	0.17659	0.17986	0.08565
0.12396	0.158	0.22009	0.17491	0.06548	0.06198	0.09904	0.1522	0.15007	0.14622	0.13984	0.0789	0.05956	0.08768	0.07924	0.05368
