A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.22138	1.84681	1.1243	0.70797	1.07726	1.53329	1.67298	1.43045	0.97323	0.65971	0.81062	0.74252	0.54583	0.42434	0.27918	0.14099
2.21497	8.52548	2.26897	0.82329	0.53923	1.26965	1.63497	1.64324	1.43423	0.77289	0.62862	0.58193	0.53789	0.36068	0.18509	0.13142
0.80412	3.235	11.17962	1.56537	0.73249	0.75401	0.99767	1.33842	1.47059	0.96671	0.64797	0.40687	0.2873	0.2661	0.19645	0.16112
0.4914	0.93986	3.43617	9.22362	1.89792	1.00388	0.71514	1.03726	1.12622	1.05457	0.601	0.30892	0.2093	0.15689	0.09337	0.06157
0.69184	0.53206	0.59124	2.72088	3.99594	1.97648	1.15762	0.84377	0.79159	0.9633	0.65604	0.43982	0.19602	0.11922	0.1272	0.1027
1.27458	0.62819	0.34011	0.87134	2.02856	2.65429	1.69609	1.1548	0.87584	0.82324	0.80453	0.47344	0.24316	0.13212	0.06756	0.04083
1.11975	1.23954	0.88057	0.40811	0.85969	1.46418	1.73726	1.37381	0.9668	0.73168	0.67383	0.54208	0.31985	0.16979	0.08908	0.07665
0.99159	1.32149	1.04022	0.6037	0.47394	0.86587	1.14017	1.44809	1.15963	0.74682	0.53499	0.38413	0.34336	0.21776	0.1266	0.04965
0.64413	0.9691	0.96755	0.75314	0.53032	0.64338	0.8893	0.98967	1.1415	0.80605	0.54392	0.23991	0.23434	0.15551	0.09544	0.04552
0.37754	0.5971	0.61095	0.77923	0.50245	0.49487	0.56118	0.67306	0.67547	0.69415	0.5112	0.25721	0.14888	0.0861	0.06722	0.05825
0.48113	0.52556	0.65553	0.69682	0.53406	0.60545	0.54303	0.49032	0.62003	0.66399	0.51444	0.38094	0.17899	0.07622	0.05377	0.04369
0.74341	0.76989	0.48024	0.57313	0.42245	0.64337	0.64678	0.47717	0.48444	0.43236	0.49748	0.40881	0.25928	0.11846	0.05339	0.03802
0.79971	0.71568	0.41718	0.44294	0.32012	0.44559	0.52273	0.54717	0.41314	0.33811	0.33154	0.34819	0.25569	0.17563	0.0969	0.03812
0.49538	0.67923	0.50389	0.26779	0.24996	0.30955	0.44112	0.40215	0.37417	0.20018	0.23067	0.22715	0.19964	0.16004	0.09319	0.04128
0.25433	0.63884	0.4383	0.3666	0.09833	0.2036	0.17479	0.30138	0.28542	0.21107	0.18374	0.1212	0.19671	0.15471	0.13901	0.07295
0.17341	0.2138	0.28143	0.22722	0.07432	0.06496	0.09941	0.15291	0.14683	0.1317	0.14345	0.07531	0.05157	0.07423	0.05955	0.03657
