A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
2.67416	1.55641	1.00471	0.63913	0.92535	1.34292	1.56826	1.30573	0.91537	0.63319	0.76524	0.71239	0.51688	0.40671	0.27558	0.13663
2.24176	9.44281	2.18272	0.72423	0.52234	1.17316	1.56158	1.53101	1.37062	0.74553	0.64357	0.61036	0.57322	0.37571	0.19887	0.14049
0.75837	3.24845	12.41669	1.44889	0.70767	0.7556	0.99947	1.27069	1.40858	0.92943	0.65186	0.43786	0.30889	0.27542	0.21078	0.17255
0.43123	0.76769	3.46206	10.20404	2.25725	1.23561	0.9739	1.23139	1.29202	1.15231	0.65992	0.39026	0.25477	0.18212	0.09475	0.0605
0.55978	0.38774	0.4601	2.69068	4.20746	2.36092	1.61437	1.40506	1.14243	1.16455	0.86345	0.5648	0.33191	0.15409	0.11643	0.09524
0.90271	0.3737	0.21703	0.89609	2.15397	2.9974	2.06814	1.67415	1.39565	1.13607	1.06889	0.63026	0.38228	0.17039	0.05131	0.0285
0.83492	0.82122	0.64375	0.4617	1.15401	1.87425	2.32002	1.97225	1.56327	1.25799	1.00742	0.77132	0.44085	0.21417	0.06681	0.06252
0.75987	0.84543	0.77508	0.78923	0.8061	1.45127	1.76658	2.33588	2.08322	1.43402	1.12791	0.66934	0.43604	0.24092	0.10976	0.04423
0.55819	0.6545	0.81221	0.81827	0.9166	1.26675	1.65901	1.85001	2.1432	1.67879	1.30021	0.57834	0.43202	0.20682	0.09361	0.04225
0.31095	0.42868	0.49943	0.91683	0.76035	0.96827	1.201	1.42952	1.45711	1.45495	1.12076	0.65682	0.32257	0.16338	0.06521	0.05305
0.51539	0.46111	0.58103	0.82662	0.79964	1.182	1.23385	1.25196	1.65396	1.71697	1.43994	1.00071	0.42539	0.13665	0.05568	0.04552
0.68449	0.68106	0.44689	0.69569	0.6184	1.0091	1.2283	1.07619	1.27501	1.07848	1.24154	0.97723	0.54833	0.17271	0.05097	0.03622
0.80415	0.76227	0.518	0.51671	0.56707	0.84931	1.00128	1.11381	1.07331	1.03255	0.95355	0.97494	0.51102	0.27454	0.0984	0.03899
0.4035	0.53723	0.55139	0.33835	0.36848	0.61073	0.68939	0.39587	0.628	0.47366	0.60971	0.48396	0.44316	0.2029	0.09992	0.04485
0.25602	0.75064	0.71916	0.56149	0.09732	0.16545	0.12363	0.23457	0.25263	0.17197	0.18018	0.13008	0.22006	0.16122	0.11624	0.09644
0.20524	0.25276	0.52663	0.37678	0.1185	0.06362	0.11103	0.14657	0.13989	0.12134	0.18638	0.10571	0.08019	0.11598	0.09959	0.04521
