A0	A5	A10	A15	A20	A25	A30	A35	A40	A45	A50	A55	A60	A65	A70	A75
1.78637	1.24727	0.81818	0.59666	0.82	1.08129	1.1861	0.97774	0.71167	0.50044	0.60845	0.56648	0.42315	0.31491	0.20164	0.10322
1.63138	6.70529	1.56493	0.65336	0.44799	0.97147	1.17846	1.12633	1.03938	0.58499	0.48869	0.46687	0.4516	0.28856	0.14611	0.10134
0.60434	2.90536	11.76312	1.25548	0.61921	0.68779	0.84001	1.08496	1.20607	0.83534	0.57805	0.37381	0.25944	0.2329	0.16367	0.12753
0.38552	0.69167	3.51618	10.16262	1.51015	0.86481	0.64113	0.89538	0.92611	0.89398	0.50832	0.28778	0.18796	0.13521	0.07834	0.04798
0.4633	0.38644	0.43113	2.39787	3.56057	1.82666	1.17502	0.94074	0.83509	0.92856	0.62617	0.40206	0.17557	0.09877	0.10713	0.08691
0.69263	0.35957	0.22198	0.67855	1.89578	2.7963	1.92376	1.47459	1.22768	1.05389	0.94268	0.52385	0.23291	0.1125	0.06215	0.03672
0.63935	0.65387	0.54842	0.3328	0.97886	1.82013	2.31203	1.91077	1.48628	1.16707	0.95931	0.72644	0.35316	0.17583	0.09448	0.08551
0.5944	0.73929	0.61607	0.43282	0.62031	1.33294	1.73458	2.23472	1.96526	1.30337	0.95461	0.59291	0.42781	0.25726	0.15805	0.06164
0.40578	0.56031	0.63848	0.54878	0.70206	1.10763	1.51218	1.67799	2.00307	1.50391	1.06087	0.43732	0.30503	0.18892	0.12542	0.05683
0.22843	0.33599	0.38089	0.58316	0.63481	0.87807	1.06575	1.23298	1.32354	1.32475	0.97715	0.48333	0.2094	0.11109	0.10056	0.08524
0.37259	0.35324	0.43999	0.54488	0.68085	1.0428	1.03043	1.0029	1.34173	1.41632	1.10813	0.71371	0.2691	0.10621	0.08112	0.06801
0.50059	0.47011	0.29397	0.36732	0.45241	0.87325	1.07068	0.83491	0.94437	0.77524	0.87918	0.71241	0.3811	0.14694	0.07828	0.0512
0.58673	0.54234	0.30608	0.3306	0.33774	0.54007	0.67549	0.69061	0.59202	0.47772	0.43261	0.51676	0.36925	0.25992	0.15589	0.06235
0.32345	0.45356	0.37653	0.22528	0.2122	0.30869	0.44092	0.41564	0.45273	0.22986	0.22692	0.2476	0.29435	0.25671	0.14219	0.06894
0.16694	0.44635	0.34825	0.36267	0.1014	0.21604	0.18582	0.33495	0.36195	0.26868	0.18418	0.13418	0.27865	0.24689	0.24509	0.10936
0.20745	0.24927	0.29733	0.28591	0.11688	0.11	0.1637	0.21223	0.23949	0.25406	0.25421	0.11198	0.08149	0.13764	0.12492	0.08317
